代碼	名稱	數量	權重
2330	台積電	199074	52.34
2317	鴻海	90741	4.6
2454	聯發科	12327	4.59
2382	廣達	22036	2.03
2308	台達電	17892	1.92
2303	聯電	97142	1.63
2891	中信金	150934	1.56
2881	富邦金	64121	1.44
3711	日月光投控	28295	1.42
2412	中華電	31500	1.27
2886	兆豐金	95097	1.23
2882	國泰金	76235	1.21
2884	玉山金	123179	1.08
2885	元大金	100687	1
1216	統一	39705	0.98
3231	緯創	23637	0.96
3034	聯詠	4740	0.91
2002	中鋼	102140	0.85
1303	南亞	43003	0.81
2357	華碩	5842	0.8
2892	第一金	88910	0.79
5880	合庫金	87767	0.74
2379	瑞昱	3939	0.72
1301	台塑	30895	0.71
3037	欣興	10764	0.67
5871	中租-KY	11656	0.67
2345	智邦	4405	0.66
2890	永豐金	95385	0.66
3008	大立光	845	0.65
2327	國巨	3236	0.64
2880	華南金	84139	0.63
2301	光寶科	17697	0.59
2883	開發金	130468	0.59
1101	台泥	54785	0.57
2887	台新金	98095	0.57
3661	世芯-KY	592	0.57
6669	緯穎	718	0.57
2207	和泰車	2695	0.56
4938	和碩	16932	0.55
1326	台化	28354	0.51
3045	台灣大	15119	0.5
2395	研華	3780	0.48
5876	上海商銀	30964	0.47
2603	長榮	8331	0.46
1590	亞德客-KY	1125	0.42
2912	統一超	4649	0.41
4904	遠傳	14641	0.38
2801	彰銀	56258	0.33
6505	台塑化	11305	0.27
2408	南亞科	9588	0.21
