代碼	名稱	數量	權重
2330	台積電	199021	52.56
2454	聯發科	12331	4.7
2317	鴻海	91467	4.44
2382	廣達	22043	1.93
2308	台達電	17899	1.83
2303	聯電	97175	1.65
2891	中信金	150986	1.55
3711	日月光投控	28305	1.47
2881	富邦金	64143	1.4
2412	中華電	31511	1.28
2886	兆豐金	95129	1.23
2882	國泰金	76261	1.21
2884	玉山金	123222	1.08
2885	元大金	100722	0.99
1216	統一	39718	0.98
3034	聯詠	4742	0.96
3231	緯創	23645	0.94
2357	華碩	5843	0.84
2002	中鋼	102175	0.82
1303	南亞	43020	0.8
2892	第一金	88940	0.79
5880	合庫金	87797	0.74
2379	瑞昱	3940	0.72
1301	台塑	30905	0.7
2890	永豐金	95419	0.67
3037	欣興	10767	0.67
5871	中租-KY	11660	0.66
2327	國巨	3237	0.65
2345	智邦	4407	0.65
3008	大立光	845	0.64
2880	華南金	84168	0.63
2301	光寶科	17704	0.59
2883	開發金	130513	0.58
1101	台泥	54803	0.57
2887	台新金	98129	0.57
2207	和泰車	2695	0.56
6669	緯穎	718	0.56
3661	世芯-KY	591	0.55
4938	和碩	16937	0.54
1326	台化	28364	0.51
3045	台灣大	15124	0.51
5876	上海商銀	30975	0.48
2603	長榮	8333	0.47
2395	研華	3781	0.46
1590	亞德客-KY	1124	0.42
2912	統一超	4650	0.41
4904	遠傳	14646	0.39
2801	彰銀	56277	0.33
6505	台塑化	11308	0.26
2408	南亞科	9592	0.22
