代碼	名稱	數量	權重
2330	台積電	198969	51.72
2317	鴻海	91441	5.02
2454	聯發科	12328	4.38
2382	廣達	22037	1.93
2308	台達電	17894	1.85
2891	中信金	150946	1.83
2303	聯電	97150	1.64
2881	富邦金	64126	1.49
3711	日月光投控	28297	1.39
2882	國泰金	76241	1.37
2412	中華電	31503	1.28
2886	兆豐金	95104	1.26
2884	玉山金	123189	1.14
2885	元大金	100695	1.05
1216	統一	39708	0.99
3034	聯詠	4740	0.9
2357	華碩	5842	0.89
3231	緯創	23639	0.87
2002	中鋼	102148	0.82
2892	第一金	88917	0.8
1303	南亞	43009	0.79
5880	合庫金	87774	0.76
2880	華南金	84146	0.72
2890	永豐金	95394	0.71
1301	台塑	30897	0.69
2327	國巨	3237	0.67
2345	智邦	4406	0.66
2379	瑞昱	3939	0.66
3037	欣興	10764	0.66
3008	大立光	845	0.61
2301	光寶科	17699	0.6
2883	開發金	130479	0.6
2887	台新金	98103	0.6
1101	台泥	54789	0.59
5871	中租-KY	11657	0.58
6669	緯穎	718	0.56
4938	和碩	16933	0.55
2207	和泰車	2695	0.53
1326	台化	28356	0.52
2603	長榮	8331	0.52
3045	台灣大	15120	0.51
3661	世芯-KY	591	0.49
5876	上海商銀	30967	0.47
2395	研華	3780	0.43
1590	亞德客-KY	1124	0.42
2912	統一超	4649	0.41
4904	遠傳	14642	0.4
2801	彰銀	56263	0.34
6505	台塑化	11305	0.26
2408	南亞科	9589	0.2
