代碼	名稱	0409	0410	0411	0413	0510	差值
1590	亞德客-KY	1125	1124	1124	1124	1124	0
2207	和泰車	2695	2694	2695	2695	2695	0
6669	緯穎	718	718	718	718	718	0
3661	世芯-KY	592	591	591	591	591	0
2327	國巨	3236	3235	3237	3237	3237	0
3008	大立光	845	845	845	845	845	0
2912	統一超	4649	4647	4650	4650	4649	-1
2395	研華	3780	3779	3781	3781	3780	-1
2345	智邦	4405	4404	4407	4407	4406	-1
2379	瑞昱	3939	3938	3940	3940	3939	-1
2357	華碩	5842	5840	5843	5843	5842	-1
3034	聯詠	4740	4739	4742	4742	4740	-2
2603	長榮	8331	8328	8333	8333	8331	-2
5871	中租-KY	11656	11653	11660	11660	11657	-3
6505	台塑化	11305	11302	11308	11308	11305	-3
3037	欣興	10764	10761	10767	10767	10764	-3
2408	南亞科	9588	9586	9592	9592	9589	-3
2454	聯發科	12327	12323	12331	12331	12328	-3
4904	遠傳	14641	14637	14646	14646	14642	-4
3045	台灣大	15119	15115	15124	15124	15120	-4
4938	和碩	16932	16927	16937	16937	16933	-4
2308	台達電	17892	17888	17899	17899	17894	-5
2301	光寶科	17697	17693	17704	17704	17699	-5
3231	緯創	23637	23631	23645	23645	23639	-6
2382	廣達	22036	22030	22043	22043	22037	-6
2412	中華電	31500	31492	31511	31511	31503	-8
5876	上海商銀	30964	30956	30975	30975	30967	-8
1301	台塑	30895	30887	30905	30905	30897	-8
3711	日月光投控	28295	28288	28305	28305	28297	-8
1326	台化	28354	28347	28364	28364	28356	-8
1216	統一	39705	39694	39718	39718	39708	-10
1303	南亞	43003	42992	43020	43020	43009	-11
1101	台泥	54785	54770	54803	54803	54789	-14
2801	彰銀	56258	56243	56277	56277	56263	-14
2881	富邦金	64121	64104	64143	64143	64126	-17
2882	國泰金	76235	76215	76261	76261	76241	-20
2880	華南金	84139	84117	84168	84168	84146	-22
5880	合庫金	87767	87744	87797	87797	87774	-23
2892	第一金	88910	88886	88940	88940	88917	-23
2886	兆豐金	95097	95071	95129	95129	95104	-25
2890	永豐金	95385	95360	95419	95419	95394	-25
2303	聯電	97142	97116	97175	97175	97150	-25
2887	台新金	98095	98069	98129	98129	98103	-26
2317	鴻海	90741	90715	91467	91467	91441	-26
2002	中鋼	102140	102113	102175	102175	102148	-27
2885	元大金	100687	100661	100722	100722	100695	-27
2884	玉山金	123179	123147	123222	123222	123189	-33
2883	開發金	130468	130434	130513	130513	130479	-34
2891	中信金	150934	150894	150986	150986	150946	-40
2330	台積電	199074	199021	199021	199021	198969	-52
