time	stockId	中文名稱
20240430_1201	6552	易華電
20240430_1201	6415	矽力*-KY
20240430_1201	6275	元山
20240430_1138	3376	新日興
20240430_1120	5608	四維航
20240430_1057	6274	台燿
20240430_1046	6451	訊芯-KY
20240430_1046	6442	光聖
20240430_1046	6264	富裔
20240430_1046	6187	萬潤
20240430_1046	5508	永信建
20240430_1046	4967	十銓
20240430_1046	4127	天良
20240430_1046	3491	昇達科
20240430_1046	3013	晟銘電
20240430_1046	2401	凌陽
20240430_1046	2365	昆盈
20240430_1046	2316	楠梓電
20240430_1035	3033	威健
20240430_1022	6177	達麗
20240430_1010	6278	台表科
20240430_1002	8996	高力
20240430_1002	8096	擎亞
20240430_1002	8088	品安
20240430_1002	6284	佳邦
20240430_1002	6235	華孚
20240430_1002	6125	廣運
20240430_1002	5371	中光電
20240430_1002	4915	致伸
20240430_1002	4526	東台
20240430_1002	3715	定穎投控
20240430_1002	3466	德晉
20240430_1002	3312	弘憶股
20240430_1002	3211	順達
20240430_1002	3081	聯亞
20240430_1002	2427	三商電
20240430_1002	2363	矽統
20240430_1002	2359	所羅門
20240430_1002	1587	吉茂
20240430_0026	2511	太子
20240430_0026	2206	三陽工業
20240430_0026	2101	南港
