time	stockId	中文名稱
20240411_1310	4533	協易機
20240411_1300	8088	品安
20240411_1246	6282	康舒
20240411_1246	2353	宏碁
20240411_1242	1529	樂事綠能
20240411_1230	2520	冠德
20240411_1214	6415	矽力*-KY
20240411_1202	6290	良維
20240411_1134	3013	晟銘電
20240411_1118	2371	大同
20240411_1114	4513	福裕
20240411_1102	6117	迎廣
20240411_1050	2618	長榮航
20240411_1032	2329	華泰
20240411_1024	1503	士電
20240411_1020	2605	新興
20240411_1014	5426	振發
20240411_0958	3036	文曄
20240411_0952	1786	科妍
20240411_0946	2537	聯上發
20240411_0946	1513	中興電
20240411_0938	5371	中光電
20240411_0936	2501	國建
20240411_0934	4714	永捷
20240411_0918	6806	森崴能源
20240411_0916	2506	太設
20240411_0916	2363	矽統
20240411_0912	3312	弘憶股
20240411_0910	8011	台通
20240411_0910	1514	亞力
20240411_0904	2509	全坤建
20240411_0900	8111	立碁
20240411_0900	8040	九暘
20240411_0900	6538	倉和
20240411_0900	6213	聯茂
20240411_0900	6197	佳必琪
20240411_0900	6177	達麗
20240411_0900	5515	建國
20240411_0900	4968	立積
20240411_0900	4746	台耀
20240411_0900	4402	福大
20240411_0900	4167	松瑞藥
20240411_0900	3708	上緯投控
20240411_0900	3645	達邁
20240411_0900	3081	聯亞
20240411_0900	3059	華晶科
20240411_0900	3025	星通
20240411_0900	2476	鉅祥
20240411_0900	2405	輔信
20240411_0900	2393	億光
20240411_0900	2009	第一銅
20240411_0900	1733	五鼎
20240411_0900	1603	華電
20240411_0900	1587	吉茂
