time	stockId	中文名稱
20240410_1334	6415	矽力*-KY
20240410_1332	4513	福裕
20240410_1332	3450	聯鈞
20240410_1330	3576	聯合再生
20240410_1318	2009	第一銅
20240410_1314	2464	盟立
20240410_1310	4167	松瑞藥
20240410_1304	1609	大亞
20240410_1254	6443	元晶
20240410_1250	3673	TPK-KY
20240410_1220	2344	華邦電
20240410_1212	6806	森崴能源
20240410_1210	6244	茂迪
20240410_1158	2363	矽統
20240410_1138	2476	鉅祥
20240410_1136	2353	宏碁
20240410_1120	6215	和椿
20240410_1108	2537	聯上發
20240410_1108	1786	科妍
20240410_1058	8033	雷虎
20240410_1054	5351	鈺創
20240410_1054	1608	華榮
20240410_1050	2427	三商電
20240410_1048	3666	光耀
20240410_1046	8096	擎亞
20240410_1040	5512	力麒
20240410_1010	9958	世紀鋼
20240410_0958	4533	協易機
20240410_0958	3339	泰谷
20240410_0954	3025	星通
20240410_0950	1514	亞力
20240410_0948	4561	健椿
20240410_0948	2501	國建
20240410_0944	2439	美律
20240410_0942	4402	福大
20240410_0938	3645	達邁
20240410_0938	3033	威健
20240410_0938	2506	太設
20240410_0934	5009	榮剛
20240410_0934	3006	晶豪科
20240410_0930	3013	晟銘電
20240410_0928	3707	漢磊
20240410_0926	2634	漢翔
20240410_0924	5371	中光電
20240410_0924	2376	技嘉
20240410_0924	2329	華泰
20240410_0918	6189	豐藝
20240410_0918	4967	十銓
20240410_0914	6227	茂綸
20240410_0914	6213	聯茂
20240410_0914	3466	德晉
20240410_0914	3363	上詮
20240410_0914	3260	威剛
20240410_0908	6290	良維
20240410_0908	6117	迎廣
20240410_0908	2025	千興
20240410_0904	3294	英濟
20240410_0900	8930	青鋼
20240410_0900	8390	金益鼎
20240410_0900	6753	龍德造船
20240410_0900	6425	易發
20240410_0900	6207	雷科
20240410_0900	6197	佳必琪
20240410_0900	6166	凌華
20240410_0900	6015	宏遠證
20240410_0900	5284	jpp-KY
20240410_0900	4746	台耀
20240410_0900	4147	中裕
20240410_0900	3715	定穎投控
20240410_0900	2515	中工
20240410_0900	2374	佳能
20240410_0900	2032	新鋼
20240410_0900	1815	富喬
20240410_0900	1603	華電
20240410_0900	1529	樂事綠能
20240410_0900	1467	南緯
