time	stockId	中文名稱
20240412_1334	2637	慧洋-KY
20240412_1332	5512	力麒
20240412_1314	5425	台半
20240412_1312	2634	漢翔
20240412_1310	8011	台通
20240412_1256	1529	樂事綠能
20240412_1252	2605	新興
20240412_1200	1319	東陽
20240412_1140	8110	華東
20240412_1138	5351	鈺創
20240412_1124	6415	矽力*-KY
20240412_1124	2101	南港
20240412_1118	3289	宜特
20240412_1118	1504	東元
20240412_1100	8936	國統
20240412_1054	3363	上詮
20240412_1052	2371	大同
20240412_1048	4967	十銓
20240412_1048	3622	洋華
20240412_1046	6290	良維
20240412_1044	1608	華榮
20240412_1040	1618	合機
20240412_1036	3036	文曄
20240412_1010	2427	三商電
20240412_1008	2374	佳能
20240412_1006	1587	吉茂
20240412_1004	2388	威盛
20240412_0958	1815	富喬
20240412_0952	1609	大亞
20240412_0944	6284	佳邦
20240412_0944	4526	東台
20240412_0944	4513	福裕
20240412_0944	3666	光耀
20240412_0944	2367	燿華
20240412_0944	1503	士電
20240412_0916	8210	勤誠
20240412_0916	4533	協易機
20240412_0916	3260	威剛
20240412_0916	1514	亞力
20240412_0916	1513	中興電
20240412_0900	8112	至上
20240412_0900	8027	鈦昇
20240412_0900	6933	AMAX-KY
20240412_0900	6207	雷科
20240412_0900	6139	亞翔
20240412_0900	4109	加捷生醫
20240412_0900	3017	奇鋐
20240412_0900	2603	長榮
20240412_0900	2359	所羅門
20240412_0900	1786	科妍
