time	stockId	中文名稱
20240426_1643	2547	日勝生
20240426_1335	2534	宏盛
20240426_1316	2388	威盛
20240426_1314	5512	力麒
20240426_1312	2537	聯上發
20240426_1312	1618	合機
20240426_1302	3363	上詮
20240426_1258	2506	太設
20240426_1242	8996	高力
20240426_1242	8234	新漢
20240426_1242	8210	勤誠
20240426_1242	6190	萬泰科
20240426_1242	6143	振曜
20240426_1242	5534	長虹
20240426_1242	4532	瑞智
20240426_1242	3163	波若威
20240426_1242	3035	智原
20240426_1242	2618	長榮航
20240426_1242	2611	志信
20240426_1242	2610	華航
20240426_1242	2609	陽明
20240426_1242	2605	新興
20240426_1242	2603	長榮
20240426_1242	2511	太子
20240426_1242	1587	吉茂
