time	stockId	中文名稱
20240614_1738	2405	輔信
20240614_1738	2328	廣宇
20240614_1146	3048	益登
20240614_1142	2388	威盛
20240614_1142	2329	華泰
20240614_1110	1316	上曜
20240614_1058	2331	精英
20240614_1054	4714	永捷
20240614_1050	5243	乙盛-KY
20240614_1050	4566	時碩工業
20240614_1050	2241	艾姆勒
20240614_1044	1587	吉茂
20240614_1038	4588	玖鼎電力
20240614_1036	2542	興富發
20240614_1016	2515	中工
20240614_1016	2312	金寶
20240614_1014	2438	翔耀
20240614_1010	2611	志信
20240614_1010	2548	華固
20240614_1008	8277	商丞
20240614_1008	6706	惠特
20240614_1008	6449	鈺邦
20240614_1008	6161	捷波
20240614_1008	5381	合正
20240614_1008	4968	立積
20240614_1008	3622	洋華
20240614_1008	2455	全新
20240614_1008	1616	億泰
20240614_1006	9105	泰金寶-DR
20240614_1006	8103	瀚荃
20240614_1006	8085	福華
20240614_1006	6209	今國光
20240614_1006	6197	佳必琪
20240614_1006	6139	亞翔
20240614_1006	4562	穎漢
20240614_1006	3372	典範
20240614_1006	3062	建漢
20240614_1006	2543	皇昌
20240614_1006	2492	華新科
20240614_1006	2392	正崴
20240614_1006	2371	大同
20240614_1006	1618	合機
20240614_1006	1612	宏泰
20240614_1006	1609	大亞
20240614_1006	1608	華榮
20240614_1006	1603	華電
20240614_1006	1514	亞力
20240614_1006	1513	中興電
20240614_1006	1503	士電
