代碼	名稱	數量	權重
2603	長榮	96254	9.29
2303	聯電	113517	3.29
3293	鈊象	5479	3.28
2404	漢唐	14292	3.17
2454	聯發科	4737	3.14
6139	亞翔	16364	3.01
5483	中美晶	25929	3
4938	和碩	51817	2.9
3034	聯詠	8377	2.84
3711	日月光投控	31831	2.79
6488	環球晶	9088	2.73
2382	廣達	16797	2.64
2301	光寶科	43791	2.51
2385	群光	20885	2.48
2891	中信金	135770	2.39
5347	世界	48989	2.38
6121	新普	9370	2.24
3706	神達	79300	2.14
1216	統一	50250	2.12
1319	東陽	30137	2.05
6239	力成	19746	2
1504	東元	63671	1.98
6147	頎邦	42315	1.8
6414	樺漢	9647	1.8
3264	欣銓	38367	1.69
3596	智易	14544	1.5
5388	中磊	20297	1.5
2474	可成	12813	1.47
3042	晶技	23450	1.46
9921	巨大	11295	1.39
3702	大聯大	27503	1.38
2352	佳世達	57024	1.35
5876	上海商銀	51177	1.34
4915	致伸	27564	1.32
3005	神基	17899	1.18
6257	矽格	29297	1.18
6285	啟碁	13108	1.13
9904	寶成	49533	0.97
3014	聯陽	9991	0.91
8016	矽創	4746	0.76
1785	光洋科	28210	0.75
5469	瀚宇博	20405	0.67
6605	帝寶	5225	0.63
8150	南茂	23283	0.63
6191	精成科	14693	0.57
6176	瑞儀	5768	0.56
2027	大成鋼	22929	0.46
6146	耕興	3426	0.46
1723	中碳	4638	0.3
3704	合勤控	9749	0.25
