代碼	名稱	數量	權重
2603	長榮	96254	9.05
3293	鈊象	5479	3.34
2303	聯電	112538	3.33
2404	漢唐	14169	3.19
2454	聯發科	4626	3.07
5483	中美晶	25929	3.04
4938	和碩	51616	2.9
3034	聯詠	8296	2.8
3711	日月光投控	31586	2.78
6488	環球晶	9039	2.78
6139	亞翔	16364	2.76
2301	光寶科	43791	2.52
2382	廣達	15842	2.48
2385	群光	20533	2.46
2891	中信金	135109	2.39
5347	世界	48989	2.37
6121	新普	9370	2.23
3706	神達	79300	2.19
1216	統一	50250	2.14
1319	東陽	30137	2.06
1504	東元	63671	1.99
6239	力成	19379	1.99
6147	頎邦	42315	1.83
6414	樺漢	9647	1.81
3264	欣銓	38367	1.7
3596	智易	14544	1.52
5388	中磊	20297	1.51
2474	可成	12813	1.49
3042	晶技	23450	1.47
3702	大聯大	27503	1.38
2352	佳世達	57024	1.37
5876	上海商銀	51177	1.35
9921	巨大	11295	1.31
4915	致伸	27365	1.29
3005	神基	17532	1.17
6257	矽格	29063	1.17
6285	啟碁	12870	1.12
9904	寶成	49533	0.99
3014	聯陽	9991	0.92
1785	光洋科	28210	0.77
8016	矽創	4672	0.75
5469	瀚宇博	20101	0.67
6605	帝寶	5153	0.63
8150	南茂	23283	0.63
6191	精成科	14454	0.57
6176	瑞儀	5657	0.55
2027	大成鋼	22668	0.47
6146	耕興	3388	0.47
1723	中碳	4638	0.3
3704	合勤控	9749	0.25
