代碼	名稱	數量	權重
2603	長榮	97376	10.16
2303	聯電	138217	3.89
3711	日月光投控	39723	3.24
3034	聯詠	9938	3.15
3293	鈊象	5840	3.13
2454	聯發科	5169	3.05
4938	和碩	56727	3.04
2404	漢唐	14819	3
5483	中美晶	27023	2.83
2891	中信金	139182	2.81
2385	群光	25504	2.71
5347	世界	54102	2.68
6488	環球晶	9501	2.64
2382	廣達	17837	2.6
6139	亞翔	16075	2.21
2301	光寶科	38827	2.2
1504	東元	69273	2.06
6121	新普	9114	2.01
1216	統一	46920	1.95
1319	東陽	31000	1.9
6239	力成	21072	1.86
3706	神達	76495	1.82
6147	頎邦	43279	1.79
3702	大聯大	34808	1.73
3264	欣銓	41738	1.63
6414	樺漢	9308	1.6
2474	可成	12925	1.55
4915	致伸	28012	1.43
3042	晶技	23674	1.41
6257	矽格	32438	1.33
5876	上海商銀	50172	1.27
3596	智易	14837	1.26
9921	巨大	10881	1.25
5388	中磊	19725	1.22
2352	佳世達	55482	1.21
3005	神基	21306	1.19
6285	啟碁	14163	1.11
9904	寶成	46819	0.94
3014	聯陽	10063	0.89
8016	矽創	5306	0.77
6176	瑞儀	6650	0.73
6605	帝寶	6497	0.71
6191	精成科	17729	0.68
5469	瀚宇博	21903	0.65
1785	光洋科	27615	0.64
8150	南茂	25974	0.61
2027	大成鋼	25752	0.52
6146	耕興	3601	0.47
1723	中碳	4549	0.28
3704	合勤控	9282	0.2
