代碼	名稱	數量	權重
2603	長榮	96254	9.32
2303	聯電	113517	3.28
6139	亞翔	16364	3.28
2404	漢唐	14292	3.26
3293	鈊象	5479	3.26
2454	聯發科	4737	3.07
5483	中美晶	25929	3.01
3034	聯詠	8377	2.89
3711	日月光投控	31831	2.8
4938	和碩	51817	2.79
6488	環球晶	9088	2.72
2382	廣達	16797	2.5
2301	光寶科	43791	2.47
2385	群光	20973	2.4
2891	中信金	135770	2.36
5347	世界	48989	2.36
6121	新普	9370	2.21
1319	東陽	30137	2.17
1216	統一	50250	2.12
1504	東元	63671	2.12
3706	神達	79300	2.11
6239	力成	19746	2.01
6414	樺漢	9647	1.82
6147	頎邦	42392	1.81
3264	欣銓	38463	1.67
5388	中磊	20297	1.49
3596	智易	14544	1.47
2474	可成	12813	1.46
3042	晶技	23450	1.45
9921	巨大	11295	1.39
3702	大聯大	27503	1.38
2352	佳世達	57024	1.33
5876	上海商銀	51177	1.33
4915	致伸	27564	1.28
6257	矽格	29297	1.18
3005	神基	17930	1.17
6285	啟碁	13108	1.11
9904	寶成	49533	0.96
3014	聯陽	10020	0.91
8016	矽創	4765	0.76
1785	光洋科	28210	0.75
5469	瀚宇博	20405	0.66
6605	帝寶	5243	0.63
8150	南茂	23342	0.62
6176	瑞儀	5768	0.56
6191	精成科	14753	0.56
2027	大成鋼	22929	0.46
6146	耕興	3436	0.46
1723	中碳	4638	0.29
3704	合勤控	9749	0.25
