代碼	名稱	數量	權重
2603	長榮	96254	9.16
3293	鈊象	5479	3.35
2303	聯電	112268	3.27
2404	漢唐	14101	3.13
5483	中美晶	25929	3.04
2454	聯發科	4609	2.97
4938	和碩	51496	2.88
6488	環球晶	9014	2.76
3034	聯詠	8213	2.72
3711	日月光投控	31384	2.72
6139	亞翔	16364	2.71
2301	光寶科	43791	2.53
2385	群光	20337	2.44
2382	廣達	15147	2.42
2891	中信金	134522	2.41
5347	世界	48989	2.37
6121	新普	9370	2.28
3706	神達	79300	2.21
1216	統一	50250	2.14
1319	東陽	30137	2.05
1504	東元	63671	2.02
6239	力成	19273	1.99
6414	樺漢	9647	1.82
6147	頎邦	42315	1.8
3264	欣銓	38367	1.72
3596	智易	14544	1.54
5388	中磊	20297	1.51
2474	可成	12813	1.5
3042	晶技	23450	1.45
2352	佳世達	57024	1.37
3702	大聯大	27503	1.37
9921	巨大	11295	1.34
5876	上海商銀	51177	1.33
4915	致伸	27289	1.26
3005	神基	17103	1.16
6257	矽格	28992	1.15
6285	啟碁	12730	1.11
9904	寶成	49533	0.99
3014	聯陽	9991	0.92
1785	光洋科	28210	0.78
8016	矽創	4672	0.74
5469	瀚宇博	19932	0.67
8150	南茂	23154	0.63
6605	帝寶	5113	0.62
6191	精成科	14322	0.58
6176	瑞儀	5532	0.53
2027	大成鋼	22525	0.47
6146	耕興	3367	0.46
1723	中碳	4638	0.3
3704	合勤控	9749	0.26
