代碼	名稱	數量	權重
3034	聯詠	15089	3.43
2454	聯發科	7325	3.12
2317	鴻海	55126	3
4938	和碩	79269	2.82
2379	瑞昱	13436	2.76
2303	聯電	144538	2.75
3711	日月光投控	47396	2.75
2385	群光	35914	2.71
3702	大聯大	79340	2.63
2353	宏碁	144018	2.52
2324	仁寶	188200	2.48
2885	元大金	226622	2.48
2891	中信金	216610	2.48
2357	華碩	15305	2.45
2356	英業達	116961	2.43
2474	可成	32149	2.41
6239	力成	35872	2.4
2382	廣達	24137	2.36
1102	亞泥	155439	2.35
3036	文曄	38540	2.3
2105	正新	127355	2.24
2449	京元電子	57778	2.23
2890	永豐金	277854	2.19
2347	聯強	78815	2.17
1402	遠東新	172504	2.02
2301	光寶科	53671	2
2377	微星	32254	1.99
2409	友達	307747	1.99
3231	緯創	45057	1.99
2886	兆豐金	131516	1.9
4958	臻鼎-KY	44751	1.9
1605	華新	132177	1.87
2376	技嘉	15823	1.82
3044	健鼎	24837	1.8
1477	聚陽	11428	1.59
2027	大成鋼	110399	1.46
6176	瑞儀	21974	1.39
3005	神基	28517	1.23
6285	啟碁	21136	1.18
2383	台光電	7932	1.15
1301	台塑	45058	1.13
1303	南亞	54524	1.13
2542	興富發	75953	1.12
8046	南電	15034	1.08
2809	京城銀	52509	1.05
2915	潤泰全	41793	0.9
2006	東和鋼鐵	34505	0.88
9917	中保科	19227	0.87
5522	遠雄	33886	0.73
3665	貿聯-KY	7624	0.68
