代碼	名稱	數量	權重
2317	鴻海	58296	3.46
3034	聯詠	15602	3.22
2891	中信金	224512	2.95
2454	聯發科	7573	2.91
4938	和碩	81961	2.86
2303	聯電	149446	2.73
3702	大聯大	82034	2.65
2885	元大金	234613	2.64
2357	華碩	15825	2.61
3711	日月光投控	49006	2.6
1102	亞泥	160718	2.59
2474	可成	33241	2.59
2385	群光	37134	2.56
2379	瑞昱	13892	2.52
2353	宏碁	148909	2.5
2324	仁寶	194591	2.48
2347	聯強	81492	2.45
2356	英業達	120934	2.42
2382	廣達	24956	2.37
2105	正新	132371	2.32
2890	永豐金	287242	2.31
1402	遠東新	178363	2.15
6239	力成	37102	2.13
2301	光寶科	55493	2.04
3044	健鼎	25680	2.03
2409	友達	318198	1.95
2886	兆豐金	135982	1.95
4958	臻鼎-KY	46270	1.95
2377	微星	33350	1.93
3231	緯創	46588	1.86
2449	京元電子	59740	1.8
2376	技嘉	16360	1.76
1605	華新	136160	1.71
3036	文曄	39805	1.7
6176	瑞儀	22727	1.62
1477	聚陽	11817	1.57
2027	大成鋼	114148	1.49
2542	興富發	79728	1.26
2383	台光電	8202	1.2
2809	京城銀	54292	1.14
1303	南亞	56374	1.13
1301	台塑	46589	1.12
6285	啟碁	21861	1.12
3005	神基	29485	1.07
8046	南電	15519	1.03
2915	潤泰全	44471	0.99
5522	遠雄	35036	0.98
9917	中保科	20321	0.93
2006	東和鋼鐵	35677	0.88
3665	貿聯-KY	7970	0.64
