代碼	名稱	數量	權重
3034	聯詠	15061	3.34
2454	聯發科	7311	3.16
2317	鴻海	55010	2.97
4938	和碩	79120	2.89
2385	群光	35846	2.78
2379	瑞昱	13411	2.74
2303	聯電	144266	2.73
3711	日月光投控	47307	2.71
2353	宏碁	143748	2.64
3702	大聯大	79191	2.6
2357	華碩	15276	2.5
2324	仁寶	187846	2.49
2891	中信金	216203	2.49
2885	元大金	226188	2.48
2382	廣達	24091	2.47
2356	英業達	116741	2.44
2474	可成	32089	2.4
6239	力成	35805	2.37
1102	亞泥	155147	2.35
2105	正新	127114	2.25
2449	京元電子	57669	2.2
2890	永豐金	277332	2.19
3036	文曄	38461	2.19
2347	聯強	78667	2.17
1402	遠東新	172180	2.03
2301	光寶科	53570	2.01
2377	微星	32194	2.01
2409	友達	307169	2.01
3231	緯創	44973	1.99
2886	兆豐金	131268	1.9
4958	臻鼎-KY	44667	1.89
1605	華新	131901	1.84
2376	技嘉	15794	1.82
3044	健鼎	24790	1.8
1477	聚陽	11407	1.58
2027	大成鋼	110191	1.45
6176	瑞儀	21933	1.39
3005	神基	28463	1.23
6285	啟碁	21097	1.19
1301	台塑	44973	1.15
2383	台光電	7917	1.14
1303	南亞	54421	1.12
2542	興富發	75785	1.12
8046	南電	15005	1.08
2809	京城銀	52410	1.06
2915	潤泰全	41695	0.9
2006	東和鋼鐵	34440	0.89
9917	中保科	19187	0.86
5522	遠雄	33822	0.73
3665	貿聯-KY	7610	0.69
