1101,台泥,Listed
1102,亞泥,Listed
1103,嘉泥,Listed
1104,環泥,Listed
1108,幸福,Listed
1109,信大,Listed
1110,東泥,Listed
1201,味全,Listed
1203,味王,Listed
1210,大成,Listed
1213,大飲,Listed
1215,卜蜂,Listed
1216,統一,Listed
1217,愛之味,Listed
1218,泰山,Listed
1219,福壽,Listed
1220,台榮,Listed
1225,福懋油,Listed
1227,佳格,Listed
1229,聯華,Listed
1231,聯華食,Listed
1232,大統益,Listed
1233,天仁,Listed
1234,黑松,Listed
1235,興泰,Listed
1236,宏亞,Listed
1240,茂生農經,OTC
1256,鮮活果汁-KY,Listed
1259,安心,OTC
1260,富味鄉,Emerging
1264,德麥,OTC
1268,漢來美食,OTC
1269,乾杯,Emerging
1271,晨暉生技,Emerging
1293,利統,Emerging
1294,漢田生技,Emerging
1295,生合,Emerging
1301,台塑,Listed
1303,南亞,Listed
1304,台聚,Listed
1305,華夏,Listed
1307,三芳,Listed
1308,亞聚,Listed
1309,台達化,Listed
1310,台苯,Listed
1312,國喬,Listed
1313,聯成,Listed
1314,中石化,Listed
1315,達新,Listed
1316,上曜,Listed
1319,東陽,Listed
1321,大洋,Listed
1323,永裕,Listed
1324,地球,Listed
1325,恆大,Listed
1326,台化,Listed
1336,台翰,OTC
1337,再生-KY,Listed
1338,廣華-KY,Listed
1339,昭輝,Listed
1340,勝悅-KY,Listed
1341,富林-KY,Listed
1342,八貫,Listed
1343,旭東環保,Emerging
1402,遠東新,Listed
1409,新纖,Listed
1410,南染,Listed
1413,宏洲,Listed
1414,東和,Listed
1416,廣豐,Listed
1417,嘉裕,Listed
1418,東華,Listed
1419,新紡,Listed
1423,利華,Listed
1432,大魯閣,Listed
1434,福懋,Listed
1435,中福,Listed
1436,華友聯,Listed
1437,勤益控,Listed
1438,三地開發,Listed
1439,雋揚,Listed
1440,南紡,Listed
1441,大東,Listed
1442,名軒,Listed
1443,立益,Listed
1444,力麗,Listed
1445,大宇,Listed
1446,宏和,Listed
1447,力鵬,Listed
1449,佳和,Listed
1451,年興,Listed
1452,宏益,Listed
1453,大將,Listed
1454,台富,Listed
1455,集盛,Listed
1456,怡華,Listed
1457,宜進,Listed
1459,聯發,Listed
1460,宏遠,Listed
1463,強盛,Listed
1464,得力,Listed
1465,偉全,Listed
1466,聚隆,Listed
1467,南緯,Listed
1468,昶和,Listed
1470,大統新創,Listed
1471,首利,Listed
1472,三洋實業,Listed
1473,台南,Listed
1474,弘裕,Listed
1475,業旺,Listed
1476,儒鴻,Listed
1477,聚陽,Listed
1480,東盟開發,Emerging
1503,士電,Listed
1504,東元,Listed
1506,正道,Listed
1512,瑞利,Listed
1513,中興電,Listed
1514,亞力,Listed
1515,力山,Listed
1516,川飛,Listed
1517,利奇,Listed
1519,華城,Listed
1521,大億,Listed
1522,堤維西,Listed
1524,耿鼎,Listed
1525,江申,Listed
1526,日馳,Listed
1527,鑽全,Listed
1528,恩德,Listed
1529,樂事綠能,Listed
1530,亞崴,Listed
1531,高林股,Listed
1532,勤美,Listed
1533,車王電,Listed
1535,中宇,Listed
1536,和大,Listed
1537,廣隆,Listed
1538,正峰,Listed
1539,巨庭,Listed
1540,喬福,Listed
1541,錩泰,Listed
1558,伸興,Listed
1560,中砂,Listed
1563,巧新,Listed
1565,精華,OTC
1568,倉佑,Listed
1569,濱川,OTC
1570,力肯,OTC
1580,新麥,OTC
1582,信錦,Listed
1583,程泰,Listed
1584,精剛,OTC
1585,鎧鉅,Emerging
1586,和勤,OTC
1587,吉茂,Listed
1589,永冠-KY,Listed
1590,亞德客-KY,Listed
1591,駿吉-KY,OTC
1593,祺驊,OTC
1594,日高,Emerging
1595,川寶,OTC
1597,直得,Listed
1598,岱宇,Listed
1599,宏佳騰,OTC
1603,華電,Listed
1604,聲寶,Listed
1605,華新,Listed
1608,華榮,Listed
1609,大亞,Listed
1611,中電,Listed
1612,宏泰,Listed
1614,三洋電,Listed
1615,大山,Listed
1616,億泰,Listed
1617,榮星,Listed
1618,合機,Listed
1626,艾美特-KY,Listed
1701,中化,Listed
1702,南僑,Listed
1707,葡萄王,Listed
1708,東鹼,Listed
1709,和益,Listed
1710,東聯,Listed
1711,永光,Listed
1712,興農,Listed
1713,國化,Listed
1714,和桐,Listed
1717,長興,Listed
1718,中纖,Listed
1720,生達,Listed
1721,三晃,Listed
1722,台肥,Listed
1723,中碳,Listed
1725,元禎,Listed
1726,永記,Listed
1727,中華化,Listed
1730,花仙子,Listed
1731,美吾華,Listed
1732,毛寶,Listed
1733,五鼎,Listed
1734,杏輝,Listed
1735,日勝化,Listed
1736,喬山,Listed
1737,臺鹽,Listed
1742,台蠟,OTC
1752,南光,Listed
1760,寶齡富錦,Listed
1762,中化生,Listed
1773,勝一,Listed
1776,展宇,Listed
1777,生泰,OTC
1780,立弘,Emerging
1781,合世,OTC
1783,和康生,Listed
1784,訊聯,OTC
1785,光洋科,OTC
1786,科妍,Listed
1788,杏昌,OTC
1789,神隆,Listed
1795,美時,Listed
1796,金穎生技,OTC
1799,易威,OTC
1802,台玻,Listed
1805,寶徠,Listed
1806,冠軍,Listed
1808,潤隆,Listed
1809,中釉,Listed
1810,和成,Listed
1813,寶利徠,OTC
1815,富喬,OTC
1817,凱撒衛,Listed
1903,士紙,Listed
1904,正隆,Listed
1905,華紙,Listed
1906,寶隆,Listed
1907,永豐餘,Listed
1909,榮成,Listed
2002,中鋼,Listed
2006,東和鋼鐵,Listed
2007,燁興,Listed
2008,高興昌,Listed
2009,第一銅,Listed
2010,春源,Listed
