代碼,股本,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
1784,5.31,74.74,3.97,-4.88,-2.9,-25.67,,,,2024/08,
1785,59.62,30.51,2.96,34.39,16.05,33.43,,,,2024/08,
1789,79.07,49.02,1.91,15.73,-14.02,117.17,,,,2024/08,
1795,26.57,17.1,3.76,11.86,-51.31,-3.74,,,,2024/08,
1799,12.19,0.0,19.19,48.59,28.83,3.62,,9月營收0.67億元,,2024/09,
1802,290.81,118.44,1.11,-20.69,1.08,46.24,,,,2024/08,
1806,39.04,65.53,0.88,17.23,11.32,126.93,,,,2024/08,
1808,99.23,3.1,1.63,-92.31,-51.83,-6.67,,,,2024/08,
1809,16.70,201.25,1.39,-9.26,-1.6,162.97,,,,2024/08,
1815,46.57,0.0,1.69,58.04,14.97,65.36,,,,2024/08,
1905,110.28,0.0,1.42,10.05,5.66,80.59,,,,2024/08,
1907,166.04,28.49,0.83,9.33,4.4,273.75,,,,2024/08,
1909,132.77,247.5,0.88,-1.17,2.75,113.74,,9月營收40.00億元,,2024/09,
2002,1573.49,108.18,1.18,-3.13,1.1,101.41,,,,2024/08,
2006,73.02,12.45,1.96,-15.43,-14.15,2.07,,,,2024/09,
2009,35.96,160.89,1.69,18.53,7.41,194.97,,,,2024/08,
2014,143.55,0.0,2.07,-31.62,-14.39,-214.68,,,,2024/08,
2020,26.70,5.36,1.54,-24.41,28.82,76.44,,,,2024/08,
2025,28.12,0.0,1.95,13.1,-25.74,-115.46,,,2024/11/06,2024/08,
2027,243.43,22.17,1.17,-15.35,2.88,-39.79,,,,2024/08,
2031,32.11,6.64,1.49,-20.26,14.19,143.04,,,,2024/08,
2049,35.38,39.89,2.2,0.13,6.02,-6.5,,,,2024/09,
2059,9.53,23.31,5.67,88.77,-1.91,142.53,,,,2024/08,
2061,4.74,68.61,2.25,36.59,1.39,348.02,,,,2024/08,
2062,20.00,13.34,1.05,0.01,10.79,499.9,,,,2024/08,
2070,3.58,30.19,4.3,81.29,68.75,458.48,,,,2024/08,
2101,83.39,66.45,3.78,878.52,711.32,1039.8,,,,2024/09,
2103,82.57,21.15,1.0,31.62,6.72,58.3,,9月營收34.10億元,,2024/09,
2104,98.47,0.0,0.49,4.52,-23.38,-344.08,,,,2024/08,
2107,30.36,14.28,0.58,-8.19,-5.76,13.19,,,,2024/08,
2108,49.24,31.32,1.23,27.46,0.82,-22.62,,,,2024/08,
2201,107.00,14.01,1.04,8.98,-4.48,-16.33,,,,2024/08,
2204,55.36,7.77,1.13,-30.8,-49.66,-19.56,,,,2024/08,
2206,79.75,11.01,2.55,-6.56,-13.43,-25.75,,,,2024/08,
2208,127.45,0.0,2.07,-28.25,-12.23,78.58,,,,2024/08,
2233,6.03,15.3,2.61,-2.27,-13.74,43.51,,,,2024/08,
2236,5.26,58.71,3.69,8.39,20.35,-150.18,,,,2024/08,
2241,10.46,0.0,2.23,-39.49,-14.65,32.2,,9月營收0.54億元,,2024/09,
2243,6.94,0.0,2.7,34.45,49.83,111.34,,,,2024/08,
2301,234.73,17.12,2.66,-9.3,-6.31,-16.07,,10/30法說會,,2024/08,
2303,1252.85,12.27,1.86,-0.58,-8.25,-25.02,,,,2024/09,
2308,259.75,28.41,4.68,3.66,1.15,8.16,,10/15法說會,,2024/08,
2312,150.41,25.58,1.48,17.01,0.97,192.04,,,,2024/08,
2313,119.18,14.57,1.91,-8.98,-7.73,123.9,,9月營收64.63億元,,2024/09,
2314,25.20,0.0,4.77,-48.79,-7.52,-107.08,,,,2024/08,
2316,18.27,8.31,1.09,12.83,17.44,1187.28,,,,2024/08,
2317,1389.07,17.86,1.79,10.94,33.69,30.13,,9月營收7330.24億元,,2024/09,
2323,108.93,16.13,0.69,-5.01,-4.88,-46.07,,,,2024/08,
2324,440.71,16.6,1.18,2.9,10.04,35.32,,,,2024/08,
2327,51.96,13.26,1.82,14.52,-6.25,29.06,,10/4申報轉讓29214.00張,,2024/08,
2328,51.83,17.08,1.37,-13.74,9.27,-24.51,,,,2024/08,
2329,56.03,10.86,2.65,-18.3,-0.73,22.89,,,,2024/09,
2330,2593.27,28.23,6.87,32.95,-2.37,21.67,2024/12/12,12/12除息4.00元，10/17法說會,,2024/08,
2331,55.74,21.61,1.1,12.77,-9.41,-83.9,,,,2024/08,
2332,60.25,952.5,1.26,2.9,3.74,-94.89,,,,2024/08,
2337,185.58,0.0,1.06,6.08,-1.59,-379.95,,,,2024/09,
2340,43.86,542.86,2.07,1.76,18.5,-150.97,,,,2024/08,
2344,450.00,108.95,0.94,6.87,3.34,1372.28,,,,2024/09,
2345,56.11,29.83,10.52,33.69,6.69,12.67,,,,2024/09,
2347,166.79,15.52,1.67,0.79,-4.69,16.6,,,,2024/08,
2348,15.19,7.82,3.18,16.84,-1.96,287.3,,9月營收6.34億元,,2024/09,
2349,69.37,0.0,2.03,-9.56,-6.43,342.34,,,,2024/08,
2351,18.21,37.14,3.86,6.88,-1.13,-6.91,,,,2024/08,
2352,196.68,29.04,1.99,-1.85,4.9,-47.59,,9月營收176.66億元,,2024/09,
2353,304.79,21.6,1.63,5.24,-2.68,32.84,,,,2024/08,
2354,141.45,24.15,0.86,-18.52,-17.37,-26.33,,9月營收56.06億元,,2024/09,
2355,39.75,13.21,0.98,-6.87,5.77,224.45,,,,2024/08,
2356,358.75,22.98,2.52,11.94,-6.31,28.77,,,,2024/08,
2357,74.28,13.33,1.63,17.53,20.73,939.43,,,,2024/08,
2359,17.15,114.68,4.64,2.65,-11.7,-82.72,,,,2024/08,
2360,42.53,36.85,7.48,10.53,15.8,19.68,,,,2024/08,
2362,63.23,23.13,0.88,17.09,15.1,102.94,,,,2024/08,
2363,48.72,0.0,2.06,229.26,715.91,-127.72,,,,2024/09,
2364,4.03,25.25,5.7,56.96,16.81,21.17,,,,2024/08,
2365,22.15,117.11,3.81,-1.21,-24.37,62.27,,,,2024/09,
2367,66.94,36.9,2.08,20.78,-0.9,771.77,,,,2024/08,
2368,49.18,18.77,5.16,29.9,1.02,119.44,,,,2024/08,
2371,233.95,80.83,2.06,5.63,-3.36,-130.28,,,,2024/08,
2374,28.94,23.66,2.03,12.74,0.13,1318.89,,,,2024/09,
2376,66.99,21.81,4.41,106.6,29.56,179.56,,,,2024/08,
2377,84.49,18.9,2.87,-2.79,3.59,3.51,,,,2024/08,
2379,51.29,20.05,5.49,15.33,-4.65,70.81,,,,2024/08,
2382,386.26,20.51,5.55,43.24,16.83,62.93,,,,2024/08,
2383,34.52,17.4,5.19,36.97,3.47,198.01,,,,2024/09,
2385,76.01,14.11,2.93,5.61,-0.35,25.63,,,,2024/09,
2387,19.53,8.48,1.16,9.03,-0.48,10.05,,,,2024/08,
2388,55.53,120.56,4.6,69.99,128.7,261.83,,,,2024/08,
2392,51.23,15.05,1.2,9.04,-2.88,412.49,,,,2024/08,
2393,44.34,15.73,1.76,15.95,-8.89,69.46,,9月營收17.54億元,,2024/09,
2397,11.45,33.09,2.94,-32.84,-4.78,-39.69,,9月營收8.81億元,,2024/09,
2399,17.81,0.0,3.15,-31.06,-26.54,-6.61,,,,2024/08,
2401,59.20,0.0,2.11,17.94,0.2,937.12,,,,2024/08,
2402,30.75,22.16,1.99,8.9,-2.46,73.41,,9月營收8.71億元，10/17法說會,,2024/09,
2404,19.06,12.93,5.81,-4.62,-10.54,3.16,,,,2024/08,
2405,34.34,227.22,1.89,-20.91,-17.68,223.51,,,,2024/08,
2406,35.09,0.0,1.77,166.7,-12.15,79.32,,,,2024/08,
