ema1,stockId,ema5,ema13,ema50,ema200
67.5,8941,67.683,67.722,68.092,69.049
55.1,8942,55.528,56.66,58.074,64.06
315.5,8996,322.009,330.774,337.981,349.994
6.15,9103,6.162,6.267,6.407,6.79
8.77,9105,8.205,7.679,7.061,5.643
5.84,9136,5.86,6.037,6.191,6.467
118.5,9802,115.848,112.29,113.297,118.944
16.0,9902,16.083,16.675,17.29,17.09
42.1,9904,42.603,42.274,40.564,36.703
22.9,9905,22.926,22.959,22.993,23.443
117.0,9906,121.158,124.096,129.799,121.704
15.2,9907,15.372,15.686,15.905,15.872
30.2,9908,30.194,30.237,30.329,31.206
140.5,9910,139.692,137.759,138.802,149.172
83.0,9911,83.687,84.335,84.931,83.762
12.15,9912,12.246,12.297,12.374,12.335
162.0,9914,162.912,163.941,175.552,200.302
136.0,9917,133.402,133.051,134.695,131.446
40.2,9918,40.095,40.369,40.582,40.914
17.25,9919,17.326,17.943,18.553,20.288
152.0,9921,151.632,154.365,168.448,195.539
52.1,9924,52.461,53.391,53.987,53.297
41.2,9925,41.174,41.197,41.254,41.247
64.0,9927,64.654,65.577,67.252,70.133
17.1,9928,17.566,18.126,18.775,20.016
16.0,9929,15.977,15.92,15.925,15.753
66.8,9930,66.808,66.808,66.711,64.476
34.25,9931,34.303,34.333,34.403,35.718
40.0,9933,40.237,40.999,42.718,45.587
13.95,9934,14.122,14.54,15.391,16.643
29.2,9935,29.71,31.044,31.67,28.435
64.7,9937,64.921,65.376,65.531,65.907
71.6,9938,74.061,77.682,76.575,68.424
142.5,9939,143.467,147.698,151.557,150.747
28.95,9940,29.125,29.44,29.897,30.737
104.5,9941,107.775,115.721,124.337,143.548
114.0,9942,114.293,114.923,115.447,121.207
79.0,9943,79.182,79.515,80.285,83.402
19.95,9944,20.112,20.345,20.48,20.881
44.0,9945,44.959,45.715,46.28,44.452
23.2,9946,23.646,24.369,25.878,29.279
25.0,9949,25.344,25.476,25.288,23.271
15.15,9950,14.584,13.747,13.797,15.465
53.1,9951,54.529,57.975,60.384,66.235
28.35,9955,28.845,30.193,31.799,31.832
180.0,9958,178.716,182.696,193.767,213.159
25.8,9960,26.035,26.148,26.249,26.702
15.3,9962,15.348,15.438,15.506,16.191
