代碼,股本,ROE%,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日,每股淨值
3044,52.6,4.5,2.1,16.8,8.2,28.0,2025/07/10,7/10除息10.30元,,2025/04,,101.6
3045,372.3,4.3,3.9,2.3,-4.8,19.0,2025/07/09,7/9除息4.50元,,2025/04,,29.6
3047,22.4,1.1,1.6,-38.8,-36.1,126.0,,,2025/06/19,2025/04,,12.4
3048,27.0,2.6,1.6,1.3,-20.0,61.8,,5月營收85.64億元,2025/06/13,2025/05,,17.2
3049,80.2,-2.5,0.7,23.3,1.5,12.5,,,,2025/04,,9.1
3050,15.5,0.6,0.8,1.5,-12.8,-74.8,,,2025/06/17,2025/04,,15.9
3051,16.7,2.8,1.7,0.6,-21.3,-27.0,,5月營收1.47億元,2025/06/24,2025/05,,15.8
3055,11.5,-3.8,2.9,59.6,26.0,28.4,,,2025/06/25,2025/04,,18.2
3056,35.6,5.9,1.4,288.3,-26.3,1210.8,,5月營收0.78億元,2025/06/17,2025/05,,24.6
3059,30.6,1.0,1.2,29.8,-7.9,6.0,,,2025/06/19,2025/04,,33.7
3060,13.8,1.3,1.1,11.1,-6.7,154.5,,5月營收2.98億元,2025/06/26,2025/05,,20.1
3062,33.0,15.7,1.5,32.8,1.0,46503.3,,,,2025/04,,15.0
3073,3.7,4.8,2.8,72.8,22.5,404.7,,,2025/06/18,2025/04,,19.5
3078,22.7,6.2,2.8,52.6,1.8,24.1,,,2025/06/25,2025/04,,28.9
3081,9.2,1.1,6.2,169.7,0.9,205.6,2025/07/14,5月營收1.85億元,,2025/05,,40.8
3090,21.3,5.6,2.8,35.8,-5.6,33.8,,5月營收13.58億元,2025/06/11,2025/05,,27.9
3092,10.7,-6.8,1.1,-9.4,-1.8,-1307.6,,,,2025/04,,17.6
3105,42.4,-0.2,1.0,-24.3,7.4,-123.7,2025/06/13,5月營收12.51億元,,2025/05,,85.6
3131,2.9,5.8,9.4,65.4,15.1,48.5,,,2025/06/19,2025/04,,141.6
3147,3.9,9.0,5.0,104.7,-58.5,74.1,,,,2025/04,,38.4
3149,22.6,-7.7,3.5,-1.7,-7.2,-1852.0,,5月營收1.95億元,2025/06/19,2025/05,,9.7
3163,8.0,1.8,5.1,12.6,-14.6,-63.6,2025/06/24,6/24除息3.00元,,2025/04,,32.8
3167,8.8,3.3,3.7,165.0,7.7,660.4,,5月營收4.34億元,,2025/05,,31.6
3188,18.6,1.5,2.2,-71.2,54.2,-74.2,,5月營收0.43億元,,2025/05,,13.3
3189,45.7,1.5,1.2,25.7,-1.7,55.8,,5月營收31.57億元,,2025/05,,69.0
3209,23.5,4.1,1.8,-19.8,-38.0,80.0,,,2025/06/17,2025/04,,21.0
3211,15.3,1.6,3.2,-16.5,45.9,-21.3,2025/06/10,5月營收13.04億元,2025/06/10,2025/05,,59.5
3213,5.9,4.5,1.4,-24.1,-18.1,5.5,,,2025/06/11,2025/05,,72.6
3217,9.0,5.6,2.9,41.2,2.0,33.6,,5月營收3.72億元,2025/06/11,2025/05,,54.2
3227,14.9,4.8,3.0,15.1,-3.6,84.7,,5月營收7.86億元,,2025/05,,70.8
3228,7.0,-5.4,20.5,-69.9,-44.2,-524.3,,,2025/06/17,2025/05,,8.7
3229,6.4,0.7,1.6,24.7,8.1,56.4,,,,2025/04,,9.8
3230,8.6,-1.1,2.4,-8.3,-21.1,27.6,,,2025/06/27,2025/04,,13.5
3231,289.4,5.8,2.4,162.1,55.9,79.9,,5月營收2084.06億元,,2025/05,,48.1
3234,11.2,0.7,3.8,5.7,-21.2,107.0,,,,2025/04,,8.6
3260,32.6,2.9,1.6,1.8,4.6,-47.7,,,,2025/04,,60.1
3264,49.0,3.2,1.9,-0.0,-0.3,9.9,2025/06/24,5月營收11.42億元,,2025/05,,40.1
3265,13.6,3.4,2.2,12.9,11.8,-17.5,,5月營收3.97億元,,2025/05,,43.9
3284,9.2,3.6,1.9,-4.6,-18.8,23.4,,,2025/06/17,2025/04,,14.3
3289,7.4,3.3,2.3,12.8,-2.0,-2.4,,,2025/06/13,2025/04,,46.8
3290,12.9,1.7,1.4,11.4,1.8,-21.2,,,,2025/04,,18.9
3293,28.2,19.3,22.0,20.7,2.5,29.0,,5月營收18.97億元,2025/06/19,2025/05,,38.6
3294,13.2,-3.1,2.1,-24.6,22.8,-1000.6,,,,2025/04,,17.0
3305,13.4,3.2,1.5,10.0,-14.0,49.8,,5月營收7.87億元,2025/06/11,2025/05,,39.1
3312,16.3,4.9,2.5,28.1,-5.6,79.2,,,2025/06/25,2025/04,,20.2
3313,22.1,-0.8,1.4,-97.9,15.3,-105.4,,,,2025/04,,10.1
3322,12.2,-1.2,0.9,-17.1,-9.5,3.8,,,,2025/04,,13.5
3323,9.4,-1.4,1.1,-20.5,-13.1,29.1,,5月營收4.03億元,2025/06/19,2025/05,,26.9
3324,9.2,5.5,5.7,17.8,-19.7,31.0,2025/06/16,5月營收16.20億元,,2025/05,,105.8
3338,8.8,2.6,2.2,4.4,3.0,-21.8,,,,2025/04,,24.1
3339,6.7,-1.2,2.9,55.4,43.9,-225.4,,5月營收0.94億元,2025/06/18,2025/05,,13.3
3362,14.2,1.0,4.5,7.8,8.7,-72.8,,,2025/06/20,2025/04,,28.2
3363,10.4,0.0,9.7,65.3,-6.3,103.9,,5月營收1.91億元,,2025/05,,24.3
3374,27.1,3.7,4.2,43.7,-5.9,5.0,2025/06/24,6/24除息2.50元,,2025/04,,34.7
3376,19.6,1.2,1.9,-12.6,13.1,-31.6,,,2025/06/10,2025/04,,93.1
3379,3.8,1.0,4.9,72.4,1.3,133.0,,,2025/06/19,2025/04,,15.5
3380,54.2,-0.8,1.7,9.6,23.5,-235.2,,,,2025/05,,17.2
3406,11.3,3.6,1.8,-19.6,-32.6,-20.3,,5月營收12.51億元,2025/06/17,2025/05,,213.0
3413,10.8,4.8,2.3,38.3,-3.9,32.7,2025/06/20,5月營收16.90億元,,2025/05,,136.0
3430,3.4,3.6,1.6,5.3,22.6,-15.4,,,2025/06/12,2025/04,,32.0
3437,14.4,-2.3,0.9,-21.6,-3.9,-0.9,,,2025/06/19,2025/04,,16.3
3443,13.4,8.2,12.3,-14.4,20.4,45.1,,5月營收20.14億元,,2025/05,,91.6
3450,14.6,8.1,5.5,11.3,6.2,399.6,,5月營收6.41億元,,2025/05,,32.9
3455,6.0,0.2,2.1,6.4,-39.2,-89.3,2025/06/25,6/25除息4.50元,2025/06/25,2025/04,,40.1
3466,7.8,-5.9,2.4,-47.1,64.2,-214.6,,,,2025/04,,18.8
3479,7.3,4.1,2.2,-2.9,0.2,48.5,2025/07/03,5月營收7.03億元,2025/06/10,2025/05,,43.5
3481,798.9,0.5,0.4,-1.3,1.2,126.5,,,,2025/04,,29.3
3483,8.6,0.1,2.2,2.2,18.4,-96.3,,,,2025/04,,54.6
3484,7.9,2.3,1.2,4.0,-7.1,14.5,,5月營收4.02億元,2025/06/25,2025/05,,42.2
3489,9.0,-0.3,1.7,-36.4,71.8,47.9,,5月營收0.62億元,2025/06/11,2025/05,,13.8
3491,6.6,5.6,8.4,-11.0,-0.7,62.6,,5月營收1.88億元,2025/06/10,2025/05,,38.0
3498,6.2,-2.9,1.1,106.2,387.3,32.0,,,2025/06/13,2025/04,,35.9
3515,12.4,5.4,3.0,207.4,61.3,60.8,2025/06/26,6/26除息5.30元,,2025/04,,74.4
3518,9.7,-6.4,1.1,-10.2,-9.5,-92.2,,,2025/06/11,2025/04,,14.2
3522,8.4,2.2,1.9,56.9,-34.0,-34.0,,,2025/06/10,2025/04,,7.9
3528,6.7,7.0,2.9,47.0,3.2,143.6,,,,2025/04,,28.3
3530,7.8,0.5,2.0,2.0,-5.0,187.5,,,2025/06/18,2025/05,,30.0
3533,11.2,5.8,4.0,15.8,2.5,9.2,,,2025/06/13,2025/04,,343.8
3535,7.9,-3.4,2.7,-33.8,-56.5,-281.0,,,,2025/04,,14.2
3545,22.1,1.7,1.3,3.9,5.9,53.5,,,,2025/04,,47.7
3548,6.6,0.9,1.2,21.4,7.2,-66.1,,,2025/06/19,2025/04,,95.6
3576,162.8,-1.6,1.0,-37.7,15.3,36.8,,5月營收2.54億元,,2025/05,,6.8
3580,4.0,1.3,2.5,-61.4,-11.1,340.4,2025/06/27,6/27除息3.00元,,2025/04,,27.7
3581,5.1,0.2,1.8,-23.4,-20.6,-83.7,,,2025/06/13,2025/04,,16.7
3583,8.0,5.3,4.7,17.9,-10.1,28.5,2025/06/30,6/30除息4.50元，6/17法說會,,2025/04,2025/06/17,61.0
3594,9.6,-1.3,1.8,24.2,-10.8,-285.0,,,2025/06/26,2025/04,,23.1
3597,3.9,1.2,1.6,30.3,0.7,3.2,2025/06/19,5月營收0.67億元,,2025/05,,15.6
3607,12.2,-2.3,1.0,26.5,21.7,11.7,,,2025/06/26,2025/04,,14.2
3615,6.8,0.6,0.7,9.6,-11.9,-37.9,,,2025/06/20,2025/04,,32.6
3617,9.4,4.6,2.9,-8.4,-4.9,-17.6,,,,2025/04,,91.3
3622,15.1,2.9,1.1,-37.8,20.4,23.1,,5月營收1.39億元,,2025/05,,48.4
3623,2.9,-2.3,1.5,11.2,-8.6,-77.0,,,2025/06/17,2025/04,,11.9
3624,11.7,1.8,1.1,-10.4,-5.0,14.6,,5月營收2.22億元,2025/06/17,2025/05,,29.5
3631,8.2,-1.0,1.8,33.5,-3.6,-516.5,,,2025/06/30,2025/04,,15.5
3645,13.7,1.2,2.3,10.4,10.2,59.0,,4月營收2.04億元,2025/06/26,2025/04,,24.8
3652,7.5,1.4,1.1,18.6,-11.7,112.3,,,2025/06/19,2025/04,,24.9
3653,14.3,9.6,14.4,46.1,-7.8,99.6,,5月營收16.79億元,,2025/05,,96.4
3661,8.1,3.6,5.4,-21.5,-12.9,19.2,,,,2025/04,,514.3
3663,10.8,0.7,3.0,121.9,3.0,-51.6,,,2025/06/19,2025/04,,17.3
3665,19.0,4.4,3.2,20.4,-16.5,178.9,,5月營收52.01億元,,2025/05,,194.1
3673,40.7,0.4,0.3,9.4,-1.8,24.0,,5月營收63.13億元,2025/06/11,2025/05,,100.2
3675,5.5,2.6,2.6,-21.5,0.7,79.8,,5月營收2.15億元,,2025/05,,53.6
3680,9.6,1.9,3.7,9.4,-32.8,-6.6,2025/06/17,6/17除息5.10元,,2025/04,,100.5
3685,8.0,-0.8,1.2,-5.0,4.2,-58.2,,,,2025/04,,9.9
3686,7.6,0.5,1.8,13.3,21.7,842.0,,,2025/06/18,2025/04,,9.2
3689,8.5,4.5,2.0,51.0,1.9,366.8,,5月營收5.55億元,,2025/05,,49.3
3701,23.6,2.5,1.5,-22.6,4.6,27.4,,,,2025/04,,21.3
3702,167.9,2.3,1.4,34.4,-16.7,0.4,,,,2025/04,,51.3
3703,82.3,0.0,0.7,-14.0,-8.0,106.6,,,2025/06/17,2025/04,,32.1
3704,41.2,2.5,1.0,-5.4,-9.3,468.7,,,2025/06/17,2025/04,,28.1
3706,120.7,2.3,1.2,96.7,3.9,100.8,,,,2025/04,,50.1
3708,10.9,0.7,1.1,-0.3,-7.6,-21.6,2025/07/03,5月營收6.57億元,,2025/05,,76.8
3710,28.7,-2.4,1.4,-1.6,-0.9,36.5,,,2025/06/20,2025/04,,5.9
3711,442.2,2.3,2.0,14.0,-2.9,31.6,,,2025/06/25,2025/04,,71.6
3712,24.6,1.9,1.3,-2.6,9.7,79.6,,,,2025/04,,40.2
3714,73.8,-0.9,0.6,-12.3,-4.0,26.6,2025/06/25,5月營收19.33億元,,2025/05,,62.3
3715,27.8,3.4,1.5,9.3,3.7,-5.8,,,,2025/04,,28.4
4109,11.9,0.9,1.2,2.8,-47.0,3.1,,,,2025/04,,13.8
4113,23.1,0.3,1.0,-93.1,-50.0,-86.0,,,2025/06/25,2025/04,,19.6
4123,72.5,3.0,1.6,-2.1,45.4,200.0,,,2025/06/26,2025/04,,25.8
4127,4.6,3.6,3.3,44.8,-9.2,133.2,,,2025/06/27,2025/04,,10.8
4128,58.8,-2.4,1.4,10.4,-3.2,-1.4,,,,2025/05,,16.4
4142,43.0,-4.7,1.5,-40.6,33.2,-27.2,,,2025/06/26,2025/04,,11.8
4157,0.0,-2.1,6.4,-96.7,3.3,-267.4,,5月營收0.04億元,,2025/05,,1.4
4160,2.7,1.4,2.4,-13.5,-10.1,-46.7,,,2025/06/13,2025/04,,21.3
4167,31.7,10.4,1.7,2.5,26.5,451.9,,,2025/06/13,2025/04,,12.2
4174,26.3,-12.1,2.8,19.8,75.5,3.0,,,2025/06/27,2025/04,,12.5
4303,7.9,43.3,1.9,303.7,3.4,138.2,,,,2025/04,,39.9
4306,67.9,0.7,0.8,-11.5,-4.2,-54.2,,,2025/06/20,2025/04,,19.6
4402,6.8,-0.3,2.2,95.4,-21.3,69.8,,5月營收0.02億元,,2025/05,,8.8
4414,100.1,0.1,0.2,32.0,33.1,103.6,,,2025/06/27,2025/04,,18.9
4420,4.0,13.2,1.5,23.4,-5.3,815.4,,5月營收0.87億元,,2025/05,,36.7
4510,10.8,-0.2,2.6,-20.6,14.1,-639.1,,,2025/06/11,2025/04,,18.4
4513,11.4,-4.3,1.8,-33.1,10.9,-493.4,,,2025/06/25,2025/04,,11.4
4532,50.5,3.4,1.3,9.0,-5.4,48.3,,,2025/06/11,2025/04,,20.8
4533,15.8,2.2,1.7,-17.6,31.0,-51.6,,,2025/06/13,2025/04,,16.2
4534,8.7,-2.0,2.2,-12.2,-4.2,-296.4,,,2025/06/19,2025/04,,7.9
4540,11.2,-2.3,1.3,10.8,-3.8,52.6,,,2025/06/26,2025/04,,29.5
4542,3.2,2.1,2.8,-11.3,-23.4,-29.7,,5月營收0.69億元,,2025/05,,20.2
4543,6.0,1.0,0.9,-12.6,10.4,-64.2,,5月營收0.77億元,,2025/05,,29.7
4545,7.7,1.5,1.3,-7.6,-12.4,-33.4,2025/06/24,6/24除息1.65元,,2025/04,,26.7
4549,5.6,2.9,3.2,-1.0,-5.2,-10.6,,5月營收1.13億元,2025/06/13,2025/05,,36.4
4551,11.5,2.7,1.2,8.2,0.2,38.5,,,2025/06/18,2025/04,,75.2
4555,7.0,0.1,0.9,-4.1,-8.0,195.9,2025/06/27,5月營收1.36億元,,2025/05,,40.7
4561,5.8,1.1,2.0,-43.5,-22.5,-71.6,,5月營收0.82億元,2025/06/26,2025/05,,24.1
4562,8.8,0.2,5.1,3.7,-15.0,113.8,,,,2025/04,,11.7
4563,5.5,3.3,2.2,-5.9,-32.9,13.7,,,,2025/04,,29.4
4564,23.3,-1.9,0.9,-2.9,5.5,24.5,,,2025/06/25,2025/04,,19.1
4566,11.0,1.7,1.3,13.5,10.0,-36.7,,,2025/06/19,2025/04,,44.9
4571,5.3,5.1,2.5,3.2,13.2,34.0,,5月營收2.42億元,,2025/05,,60.5
4576,12.0,1.5,3.7,17.1,-6.2,529.1,2025/07/17,5月營收2.28億元,,2025/05,,32.4
4583,8.0,3.4,6.9,0.8,5.4,-9.4,,5月營收2.67億元,,2025/05,,119.2
4707,40.4,1.5,0.7,-45.6,-16.0,11.5,,5月營收1.04億元,2025/06/11,2025/05,,14.7
4711,6.1,0.1,0.9,-15.3,-28.6,-79.0,,,2025/06/19,2025/04,,17.0
4714,17.8,17.1,1.2,86.6,0.3,116.3,,,,2025/04,,13.3
4716,9.0,-2.8,1.2,4.0,-11.7,-185.4,,,2025/06/18,2025/04,,13.3
4720,11.4,2.2,1.1,-7.0,-6.3,-29.2,,5月營收2.88億元,,2025/05,,13.9
4726,20.7,-6.6,4.3,-50.1,-49.7,4.8,,,2025/06/30,2025/04,,9.1
4729,7.8,0.8,1.3,7.8,0.3,544.3,,,2025/06/20,2025/04,,14.2
4743,47.9,-1.3,2.4,3.1,-28.8,-96.0,,,,2025/05,,24.2
4763,9.9,11.6,4.8,21.4,-18.0,-3.5,,5月營收12.32億元,,2025/05,,188.1
4768,4.5,0.2,2.8,-13.8,-13.7,-89.2,,,,2025/04,,36.7
4772,14.8,3.3,11.1,26.7,-1.9,26.8,2025/07/04,5月營收0.90億元,,2025/05,,20.5
4903,10.5,-1.8,2.5,119.9,-13.3,29.9,,,,2025/04,,9.8
4904,360.6,3.5,3.3,5.6,-2.8,10.0,2025/07/09,7/9除息3.56元,,2025/04,,26.1
4906,42.8,0.5,0.9,-37.5,-17.4,-12.6,,,,2025/04,,29.3
4907,11.8,1.4,2.1,-86.8,3385.3,13.1,,,2025/06/13,2025/04,,21.7
4909,9.3,0.1,1.8,-89.4,72.6,-97.7,2025/07/21,5月營收0.20億元,2025/06/25,2025/05,,34.5
4915,46.7,3.6,1.8,-5.3,0.4,22.2,2025/06/19,5月營收48.41億元,,2025/05,,44.8
4916,11.2,2.6,1.8,-26.0,-22.0,30392.6,,5月營收2.20億元,,2025/05,,22.9
4919,42.0,1.4,1.9,-4.4,7.2,-46.8,,5月營收26.57億元,,2025/05,,37.8
4927,22.0,-4.4,0.7,-8.0,-4.6,-3.3,,5月營收9.54億元,,2025/05,,30.1
4931,6.6,7.4,4.0,-5.4,-2.7,352.0,,5月營收1.49億元,2025/06/19,2025/05,,19.3
4933,8.2,5.2,1.9,8.2,-10.1,17.9,,,2025/06/10,2025/04,,41.7
4935,12.9,0.6,0.6,-24.7,-8.0,-63.2,2025/06/16,5月營收4.68億元,,2025/05,,67.9
4938,266.3,2.2,1.1,14.7,21.6,36.4,2025/06/17,6/17除息4.50元,,2025/04,,75.7
4939,9.8,0.4,1.2,-13.6,-10.7,-56.7,2025/06/10,5月營收1.17億元,,2025/05,,16.0
4956,10.0,-1.3,1.5,-2.0,16.6,-68.3,,5月營收1.25億元,2025/06/20,2025/05,,16.7
4958,95.7,0.7,1.0,10.8,-13.2,-28.6,2025/06/12,5月營收117.91億元,,2025/05,,111.7
4960,57.2,-2.6,0.9,-9.5,-7.1,-297.2,,,,2025/04,,15.2
4961,12.1,2.5,1.5,3.1,-4.2,21.1,2025/07/01,7/1除息12.87元,,2025/05,,139.3
4966,8.0,3.0,2.0,4.2,-2.0,16.0,2025/08/21,8/21除息8.93元,2025/06/11,2025/05,,285.4
4967,8.5,2.2,1.7,-44.8,-49.4,-70.6,,,,2025/04,,45.1
4968,9.2,1.0,4.4,-11.7,-6.8,-7.2,,5月營收3.09億元,,2025/05,,28.5
4974,7.2,4.0,2.1,-12.0,-0.1,15.1,2025/06/17,6/17除息5.45元,,2025/05,,43.6
4976,14.1,-0.9,1.6,-16.2,-5.2,-412.0,,5月營收0.88億元,2025/06/25,2025/05,,17.5
4977,8.0,-2.7,1.8,87.4,-5.6,-1184.7,,,2025/06/16,2025/04,,47.8
4979,14.1,6.3,6.5,42.2,2.0,105.1,,,2025/06/24,2025/04,,23.9
4991,11.4,-2.6,2.8,-14.0,-39.8,62.5,,,,2025/04,,26.9
5009,60.2,1.9,1.4,-11.4,-3.9,-38.4,2025/06/27,6/27除息2.60元,,2025/04,,29.9
5213,67.0,6.7,1.5,1036.9,-61.2,7853.2,2025/06/23,4月營收18.06億元,,2025/04,,21.0
5225,7.8,5.8,2.2,-20.2,-15.1,4.6,,5月營收7.99億元,,2025/05,,38.8
5234,10.3,6.2,8.2,9.1,-6.1,69.2,,5月營收3.77億元,,2025/05,,28.8
5244,6.8,1.6,1.6,-4.4,-6.7,-24.8,,5月營收0.69億元,,2025/05,,27.8
5258,11.0,0.9,1.5,1.7,3.9,-77.7,,,2025/06/17,2025/04,,40.6
5263,7.1,-1.1,1.8,23.4,9.7,-691.2,,,2025/06/10,2025/04,,55.3
5309,19.2,0.6,2.1,5.2,-5.7,-72.2,,5月營收2.67億元,,2025/05,,16.2
5328,17.3,0.5,1.2,27.8,3.0,33.6,,,,2025/04,,11.0
5347,186.8,3.4,2.5,8.4,-20.2,89.1,,,,2025/04,,35.7
5351,32.6,-5.3,2.1,-15.9,16.8,-4.5,,,2025/06/19,2025/04,,12.3
5371,39.1,0.1,0.9,-15.7,-10.8,229.6,,,2025/06/18,2025/04,,61.5
5381,24.4,4.0,2.4,17.1,19.6,42.8,,,2025/06/19,2025/04,,8.8
5386,3.2,6.2,3.4,172.6,-5.5,33.1,,5月營收4.74億元,,2025/05,,20.8
5388,30.0,1.9,1.8,-11.1,-8.0,-54.8,,5月營收38.14億元,,2025/05,,51.4
5392,16.9,-0.6,0.8,-6.4,5.1,-4240.1,,,2025/06/20,2025/04,,34.7
5425,26.4,2.1,1.4,31.6,0.2,14.2,,,2025/06/19,2025/04,,32.5
5426,14.4,2.5,1.4,42.7,-1.6,622.2,,,2025/06/20,2025/04,,16.3
5439,9.3,7.1,7.5,125.6,32.2,79.3,,,2025/06/19,2025/04,,28.2
5443,16.4,1.3,2.3,-0.2,37.4,-16.5,2025/06/19,6/19除息2.00元,,2025/04,,32.0
5452,14.9,0.6,1.8,-14.1,-6.9,-16.9,,5月營收4.21億元,2025/06/16,2025/05,,14.7
5460,5.9,-0.1,1.2,-6.6,-3.7,27.3,,5月營收0.21億元,2025/06/23,2025/05,,12.5
5469,48.6,2.4,0.9,50.5,34.3,33.2,,,2025/06/18,2025/04,,68.8
5474,4.0,2.2,3.3,-9.1,42.0,-24.4,,,2025/06/11,2025/04,,46.2
5475,12.7,-2.1,3.1,5.3,6.5,63.4,,,2025/06/20,2025/04,,7.1
5481,7.1,-1.3,0.0,-2.5,0.8,40.6,,5月營收0.07億元,,2025/05,,18.5
5483,64.1,1.6,1.2,-5.5,-5.4,-54.6,2025/07/23,5月營收63.53億元,,2025/05,,78.1
5484,6.7,-8.5,5.5,-7.5,28.6,-202.1,,,2025/06/20,2025/04,,7.2
5498,19.2,-1.1,0.8,4.2,1.2,-246.7,,,2025/06/19,2025/04,,10.6
5508,21.7,4.4,5.3,-88.1,-25.0,-72.4,,,2025/06/11,2025/05,,24.4
5519,21.9,2.2,1.5,-20.6,-47.4,-54.1,2025/06/17,6/17除息3.00元,,2025/04,,23.9
5522,78.2,-0.4,1.2,-88.8,716.1,-143.5,2025/06/26,5月營收2.22億元,2025/06/10,2025/05,,57.0
5525,29.7,-0.7,1.8,1.4,-37.0,1.6,,,,2025/04,,18.6
5531,97.8,-3.0,0.9,18.8,94.3,17.6,,,2025/06/25,2025/04,,10.4
5534,29.0,1.8,1.2,-68.4,-46.6,354.4,,,2025/06/26,2025/04,,71.9
5608,38.9,-2.1,0.6,-7.1,-3.4,15.3,,5月營收2.59億元,2025/06/25,2025/05,,25.9
5871,167.8,3.1,1.2,-3.1,-4.5,-4.1,,,,2025/04,,98.8
5876,486.2,2.2,1.1,13.4,-4.7,12.0,,,2025/06/13,2025/04,,42.0
5880,1522.4,1.9,1.4,14.4,-15.6,-7.3,,,2025/06/20,2025/04,,17.0
5905,28.2,-1.3,1.0,-4.9,13.6,-33.6,,,2025/06/26,2025/04,,10.7
6016,62.4,-4.2,0.8,2.3,246.4,-163.7,,5月營收3.93億元,,2025/05,,15.0
6104,9.1,10.8,7.0,46.2,-8.6,504.6,,5月營收3.57億元,2025/06/11,2025/05,,21.5
6111,10.9,-1.2,2.5,17.6,-6.8,-184.1,,,,2025/04,,20.2
6112,18.8,0.6,2.5,40.0,13.7,-78.3,,,,2025/05,,21.3
6114,4.4,9.3,1.3,6.2,1.5,344.1,,,2025/06/16,2025/04,,37.6
6116,294.0,-2.2,0.6,41.1,0.4,44.4,,,,2025/04,,11.6
6140,5.0,2.8,3.1,28.9,46.2,-28.7,,,2025/06/19,2025/04,,12.5
6148,4.7,1.4,5.0,306.2,101.4,-33.3,,,2025/06/24,2025/04,,11.8
6180,17.6,3.1,2.2,-12.6,-14.3,-52.6,,,2025/06/26,2025/04,,33.2
6187,9.7,5.2,4.7,25.6,4.3,100.6,,5月營收5.07億元,2025/06/20,2025/05,,70.6
6188,27.8,2.9,2.7,22.9,-4.3,29.6,,5月營收7.22億元,,2025/05,,33.5
6189,21.9,4.5,2.4,-22.6,8.1,-37.7,,,,2025/04,,30.4
6190,17.1,3.4,1.9,4.8,3.0,48.7,,5月營收7.50億元,,2025/05,,20.8
6191,47.4,3.2,1.6,81.8,7.4,27.2,,5月營收33.83億元,2025/06/18,2025/05,,50.0
6197,12.2,5.1,4.4,-8.2,-25.7,-13.6,,5月營收5.70億元,,2025/05,,31.1
6207,8.0,1.3,1.6,-30.2,-25.6,-66.5,,5月營收0.91億元,2025/06/18,2025/05,,24.1
6209,17.4,0.0,1.5,15.4,-3.7,106.5,,5月營收2.39億元,2025/06/17,2025/05,,16.7
6213,36.3,1.6,1.5,10.8,-4.8,119.3,2025/07/03,5月營收29.41億元,,2025/05,,56.9
6214,27.2,1.6,1.7,27.2,-7.0,-56.0,,,,2025/04,,66.4
6215,8.3,2.1,6.1,91.5,-15.0,3.3,,,,2025/04,,17.2
6218,6.4,-1.8,1.3,14.4,127.2,-3164.7,,5月營收1.25億元,2025/06/16,2025/05,,13.7
6219,11.9,-5.0,1.6,-100.0,140.8,-533.7,,,,2025/04,,16.1
6223,9.4,7.4,7.5,30.6,-2.8,84.0,,,2025/06/11,2025/04,,110.9
6224,8.6,0.8,1.9,29.2,10.8,4009.2,,,2025/06/12,2025/04,,26.4
6231,4.6,7.3,10.7,17.7,10.7,7.9,2025/07/22,5月營收1.20億元,,2025/05,,21.0
6235,20.0,2.6,2.2,-3.9,-11.1,-39.2,,,,2025/05,,23.5
6239,75.9,2.2,1.6,-7.3,6.3,-25.1,,5月營收60.80億元,,2025/05,,78.1
6244,38.7,1.5,1.6,-14.0,-13.4,-47.5,,5月營收2.24億元,2025/06/20,2025/05,,11.7
6257,48.4,3.8,1.9,2.6,2.3,0.4,2025/07/08,5月營收15.98億元，6/17法說會,,2025/05,2025/06/17,41.0
6264,13.6,-3.7,1.5,-77.2,-37.3,-345.5,,,2025/06/17,2025/04,,5.3
6269,32.3,-2.2,0.7,-31.6,9.9,-3085.5,,,,2025/04,,72.9
6271,20.9,2.3,0.9,2.3,-1.7,60.0,2025/06/13,6/13除息3.00元,,2025/04,,123.2
6274,27.6,4.8,4.2,10.1,-9.4,48.7,,5月營收21.36億元,2025/06/17,2025/05,,48.5
6278,29.2,3.8,1.4,9.5,-2.1,23.1,,5月營收42.45億元,2025/06/19,2025/05,,75.5
6282,85.9,-0.2,1.0,-4.7,-12.7,42.2,,,,2025/04,,26.4
6284,14.9,3.3,1.4,14.0,-1.8,-0.2,,5月營收6.89億元,2025/06/20,2025/05,,52.6
6285,48.4,2.8,1.8,-12.6,-8.5,22.3,,5月營收90.25億元,,2025/05,,67.9
6288,20.8,1.0,1.3,5.2,-9.6,-33.2,2025/06/26,6/26除息0.30元,,2025/04,,15.8
6290,15.9,6.2,2.5,37.4,11.3,53.6,,,,2025/04,,39.2
6405,6.6,-1.1,0.7,-98.7,182.0,-322.9,,,,2025/04,,34.2
6411,9.9,1.1,1.5,-12.8,-2.8,-41.9,,,2025/06/10,2025/04,,48.8
6412,40.1,2.8,3.6,1.1,0.8,-40.8,2025/06/10,6/10除息6.00元,,2025/05,,34.3
6415,9.7,1.0,4.2,4.9,-0.9,386.3,,,,2025/04,,91.7
6425,4.9,-2.6,1.8,-59.2,-44.5,-207.8,2025/06/25,6/25除息1.00元,,2025/04,,25.3
6438,8.2,2.2,2.6,34.4,11.7,-16.9,2025/06/19,5月營收5.38億元,,2025/05,,65.8
6442,7.6,8.8,10.6,194.6,83.4,170.1,,,,2025/04,,46.9
6443,51.3,-1.8,1.1,-57.2,128.4,-637.9,,5月營收1.94億元,,2025/05,,13.0
6446,34.2,4.5,6.2,49.2,-3.8,282.4,,5月營收11.79億元,,2025/05,,87.4
6449,9.2,3.1,2.5,45.8,7.6,-6.8,,5月營收3.95億元,,2025/05,,44.7
