代碼,股本,ROE%,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日,每股淨值
1815,52.0,2.2,2.6,50.2,-6.4,379.6,,4月營收4.79億元,2025/06/13,2025/04,,15.3
1907,166.0,-0.2,0.7,-3.0,-6.2,-126.8,,,2025/06/20,2025/04,,38.6
1909,132.8,-0.7,0.5,-10.4,-4.2,-2636.6,,5月營收38.97億元,,2025/05,,15.9
2006,73.0,3.4,1.5,0.2,-6.9,-0.6,,5月營收51.83億元，6/17法說會,,2025/05,2025/06/17,42.3
2014,143.6,-1.5,1.5,-18.1,0.9,-452.6,,,2025/06/25,2025/04,,10.0
2020,26.7,3.4,1.6,-5.4,-4.8,-59.0,2025/06/11,6/11除息2.20元,,2025/04,,17.7
2025,17.3,1.5,1.8,44.5,32.7,129.2,,,,2025/04,,8.6
2027,243.4,2.3,1.1,7.2,-0.9,29.2,,,2025/06/11,2025/04,,32.7
2031,32.1,-2.9,1.3,49.4,7.1,-144.3,2025/06/19,6/19除息2.50元,,2025/04,,32.4
2049,35.4,1.2,2.1,-6.1,-5.6,26.8,,5月營收19.35億元,,2025/05,,103.0
2059,9.5,11.1,8.5,60.5,-3.8,81.1,,5月營收13.94億元,2025/06/27,2025/05,,249.9
2061,5.7,-0.9,1.5,7.4,0.6,-580.0,,,2025/06/25,2025/04,,11.6
2062,20.0,0.5,0.6,-24.6,4.3,-73.7,,5月營收5.25億元,,2025/05,,38.7
2066,4.4,4.1,1.6,-9.1,-14.1,-25.3,,,,2025/04,,49.2
2070,3.6,1.7,1.7,-5.8,25.5,-35.4,,董事長由吳俊男續任,,2025/05,,25.6
2101,83.4,-0.7,2.3,-5.8,1.2,-1776.0,,5月營收8.32億元,,2025/05,,15.7
2103,82.6,1.7,0.7,3.8,-7.0,22.9,,5月營收30.54億元,,2025/05,,24.9
2104,98.5,-0.9,0.3,9.0,48.4,-46.4,,,,2025/04,,32.6
2107,30.4,1.1,0.6,-9.7,-16.0,31.8,2025/06/16,6/16除息1.40元,2025/06/13,2025/04,,41.7
2108,49.2,1.5,0.8,-1.1,5.2,41.5,,5月營收9.36億元,,2025/05,,29.6
2201,107.0,1.1,0.6,-27.4,-12.4,-34.1,2025/08/21,8/21除息1.30元,,2025/04,,61.0
2204,55.4,1.7,1.0,-26.4,-2.7,-48.5,2025/07/17,7/17除息4.20元,,2025/04,,64.3
2206,79.8,4.5,2.0,2.7,-2.4,-8.0,,,2025/06/26,2025/04,,33.6
2208,127.4,-9.6,2.4,-38.2,-53.1,-141.3,,,2025/06/25,2025/04,,6.5
2233,6.0,3.1,2.6,-10.9,-6.7,-19.4,,,,2025/04,,62.2
2236,5.5,2.0,2.3,604.8,59.6,1456.3,,,2025/06/27,2025/04,,41.1
2241,10.5,-2.0,1.8,-24.6,-23.1,23.4,,,,2025/05,,13.2
2243,6.9,-5.8,1.1,183.4,-18.4,-538.7,,,,2025/04,,10.2
2250,3.5,1.8,1.4,1.1,2.4,-13.4,,,2025/06/30,2025/04,,65.5
2301,234.1,3.8,2.7,26.6,0.4,44.4,,,,2025/04,,39.0
2303,1255.6,2.0,1.5,-0.2,-4.8,-25.8,2025/06/24,5月營收194.80億元,,2025/05,,31.1
2308,259.8,4.2,4.2,21.6,-6.1,72.9,2025/06/17,6/17除息7.00元,,2025/04,,94.3
2312,150.5,1.9,1.4,-7.1,-7.6,19.7,,,,2025/04,,15.2
2313,119.2,3.0,1.6,4.9,-8.0,32.3,,5月營收59.83億元,,2025/05,,36.3
2314,25.2,-31.5,3.4,-39.3,28.3,-24.0,,,2025/06/18,2025/04,,2.3
2316,18.3,2.6,0.8,17.2,-28.9,48.4,,,2025/06/19,2025/04,,57.0
2317,1389.2,2.5,1.3,11.9,-4.0,84.3,2025/07/02,5月營收6157.45億元,,2025/05,,118.2
2323,108.9,-6.3,0.5,-4.8,-0.8,-303.1,,,2025/06/10,2025/04,,15.3
2324,440.7,1.7,0.9,-19.4,-18.3,14.8,,,,2025/04,,30.7
2327,51.8,3.4,1.6,7.5,3.6,20.7,2025/06/13,6/13除息20.00元,,2025/04,,309.9
2328,51.8,1.6,1.4,20.9,-1.4,35.6,2025/06/27,6/27除息1.10元,,2025/04,,27.3
2329,56.0,1.6,2.8,36.1,4.6,-62.5,2025/06/26,5月營收17.92億元,,2025/05,,14.9
2330,2593.3,8.1,5.7,48.1,22.2,60.2,2025/06/12,6/12除息4.50元,,2025/04,,176.0
2331,55.7,4.9,0.9,22.3,22.8,1267.6,,,,2025/04,,20.8
2332,60.2,-1.1,1.1,-16.9,-12.0,-178.2,,,,2025/04,,15.0
2337,185.6,-2.0,0.9,5.0,-2.7,19.1,,5月營收22.68億元,,2025/05,,23.6
2340,43.9,-4.7,1.2,6.0,-10.0,-870.6,,,2025/06/17,2025/04,,16.6
2344,450.0,-1.0,0.9,-0.4,4.0,-272.8,,5月營收70.94億元,,2025/05,,20.1
2345,56.1,13.5,10.3,108.3,2.8,128.3,,5月營收182.80億元,2025/06/12,2025/05,,71.1
2347,166.8,2.5,1.7,-10.5,-5.0,-15.3,2025/06/23,5月營收295.23億元,,2025/05,,44.2
2348,15.2,3.4,2.2,-27.8,-52.3,-61.6,,5月營收3.78億元,2025/06/16,2025/05,,50.3
2349,69.4,-0.2,1.2,18.2,2.8,-121.6,,,2025/06/18,2025/04,,8.2
2351,18.2,1.6,1.8,2.8,-0.7,-30.9,2025/07/31,7/31除息2.50元,,2025/04,,39.4
2352,192.7,0.9,1.5,6.8,2.5,50.4,,5月營收175.49億元,,2025/05,,17.5
2353,304.8,0.9,1.5,4.2,-36.5,-48.9,2025/06/19,6/19除息1.70元,,2025/04,,24.3
2354,141.4,0.8,0.8,249.6,14.5,13.7,,5月營收147.54億元,,2025/05,,78.7
2355,39.8,1.2,0.7,3.9,7.6,-35.7,,,2025/06/25,2025/04,,44.4
2356,358.8,2.5,2.2,17.3,-1.4,57.3,,5月營收612.03億元,,2025/05,,19.2
2357,74.3,4.5,1.7,35.1,-12.6,119.7,,,,2025/04,,379.5
2359,17.2,0.2,4.2,9.6,-40.8,-66.6,2025/07/10,7/10除息1.00元,2025/06/10,2025/04,,32.6
2360,42.5,8.7,6.1,-8.8,-8.2,120.8,2025/06/20,5月營收19.52億元,2025/06/10,2025/05,,55.5
2362,62.2,0.6,0.6,7.0,29.2,-69.9,,5月營收21.95億元,,2025/05,,75.1
2363,51.5,-0.1,1.5,1064.4,0.3,80.9,,5月營收1.85億元,,2025/05,,32.0
2364,4.0,9.4,4.8,13.4,-22.4,109.6,,,2025/06/10,2025/04,,16.8
2365,22.2,0.5,2.6,-28.5,-14.4,-54.5,,5月營收0.63億元,,2025/05,,14.2
2367,70.9,3.4,1.3,-21.6,-14.7,57.2,,5月營收13.23億元,2025/06/17,2025/05,,18.6
2368,49.2,8.4,6.7,39.0,1.8,44.0,2025/06/24,5月營收46.84億元,,2025/05,,41.7
2371,234.0,0.3,1.5,10.0,9.1,-69.6,,,,2025/04,,27.0
2374,28.9,1.2,2.0,57.9,39.2,-40.1,,,2025/06/25,2025/04,,24.6
2376,67.0,6.0,3.4,5.5,34.8,63.6,,,2025/06/10,2025/04,,85.0
2377,84.5,2.1,2.4,28.2,3.8,-56.8,,,2025/06/10,2025/04,,59.3
2379,51.3,9.7,6.2,-1.0,-10.1,52.2,,5月營收102.76億元,,2025/05,,88.4
2382,386.3,9.1,5.6,58.2,-20.0,61.1,2025/06/30,6/30除息13.00元,2025/06/13,2025/04,,50.0
2383,34.8,10.1,8.4,41.5,1.2,75.4,,5月營收72.77億元,,2025/05,,96.0
2385,76.0,3.5,2.8,-5.0,1.2,-13.1,2025/06/17,5月營收81.24億元,,2025/05,,56.5
2387,19.5,1.6,0.9,-27.5,-2.8,-10.2,2025/06/24,6/24除息4.00元,,2025/04,,56.9
2388,55.6,0.1,1.6,-50.5,-9.5,-83.2,2025/06/20,6/20除息0.20元,2025/06/20,2025/04,,39.2
2392,51.2,0.9,1.0,-6.5,8.0,-27.9,,,,2025/04,,55.8
2393,44.3,2.8,1.6,-14.2,-11.0,-22.1,,5月營收16.08億元,2025/06/11,2025/05,,47.3
2397,11.4,2.4,2.2,21.7,2.0,153.0,,,,2025/05,,28.5
2399,17.8,0.5,1.5,-0.7,-13.4,-65.6,,,2025/06/20,2025/04,,12.2
