stockId,sortLabel,sortCode,nearBy,nearByAvg
2374,Te,43,abcd,48.09
2375,Ta,119,bcde,66.74
2376,eTc,25,abd,270.72
2377,abT,6,cde,175.89
2379,Tcab,115,de,504.42
2380,edcT,120,ab,6.38
2382,abcde,1,,
2383,Tba,89,cde,440.51
2385,edT,115,abc,163.65
2387,Tba,120,cde,57.52
2388,Tba,90,cde,125.74
2390,abeT,21,cd,13.37
2392,Taeb,69,cd,64.49
2393,abcde,1,,
2395,edcT,120,ab,318.28
2397,abcde,1,,
2399,bacde,2,,
2401,edcba,120,,
2402,Tade,32,bc,41.95
2404,T,11,abcde,339.48
2405,T,71,abcde,20.5
2406,Tcba,120,de,20.36
2408,edcba,120,,
2409,T,110,abcde,16.92
2412,T,89,abcde,122.96
2413,abeT,26,cd,22.74
2414,T,99,abcde,35.9
2415,eT,100,abcd,26.64
2417,Tba,89,cde,43.58
2419,baT,2,cde,31.56
2420,Tcde,2,ab,73.96
2421,eT,55,abcd,99.89
2423,abT,1,cde,40.0
2424,Tcde,2,ab,77.21
2425,abcT,1,de,40.58
2426,bTde,32,ac,22.78
2427,Tcab,115,de,27.58
2428,Ta,78,bcde,169.84
2429,Tabe,63,cd,28.75
2430,edT,120,abc,33.3
2431,abcde,1,,
2432,edcT,120,ab,34.93
2433,T,115,abcde,50.79
2434,T,120,abcde,32.19
2436,Tdac,55,be,60.28
2438,Teba,88,cd,48.14
2439,Tcba,119,de,122.67
2440,Tcba,120,de,14.98
2441,Tcba,120,de,59.77
2442,Tcba,120,de,28.99
2444,Tde,2,abc,14.16
2449,Tcde,1,ab,127.56
2450,edcT,120,ab,35.18
2451,Tba,89,cde,100.09
2453,eT,105,abcd,56.46
2454,Tcde,1,ab,1294.48
2455,Ta,120,bcde,151.54
2457,edcT,120,ab,38.11
2458,T,96,abcde,148.18
2459,T,74,abcde,71.06
2460,edcba,120,,
2461,edcT,120,ab,21.96
2462,edcba,120,,
2464,Tade,33,bc,80.06
2465,edcba,120,,
2466,eT,120,abcd,35.3
2467,Tade,32,bc,213.87
2468,edT,115,abc,24.05
2471,edcT,120,ab,49.16
2472,Tba,89,cde,76.66
2474,Tde,2,abc,235.41
2476,Teba,89,cd,94.01
2477,abcde,1,,
2478,Tba,89,cde,50.37
2480,abcT,1,de,123.26
2481,T,60,abcde,56.98
2482,edTa,120,bc,31.3
2483,Tcba,120,de,23.91
2484,edcT,120,ab,28.96
2485,edT,120,abc,18.02
2486,abcde,1,,
2488,Te,3,abcd,47.93
2489,Tde,32,abc,21.51
2491,Tcba,120,de,14.27
2492,edcba,120,,
2493,abcde,1,,
2495,abcde,1,,
2496,Te,33,abcd,74.46
2497,bTde,2,ac,74.84
2498,Ta,57,bcde,45.67
2501,Tcab,114,de,26.83
2504,abcde,1,,
2505,Tcba,120,de,24.71
2506,Tcba,119,de,11.22
2509,Tcba,119,de,21.41
2511,edcT,120,ab,10.48
2514,Te,1,abcd,21.65
2515,edcba,120,,
2516,aT,16,bcde,12.05
2520,Tcba,119,de,51.2
2524,cdbT,78,ae,79.68
2527,edcba,120,,
2528,Tcba,120,de,42.44
2530,Tcab,115,de,43.74
2534,Te,3,abcd,26.16
2535,Tcba,119,de,52.18
2536,Tcba,120,de,32.2
2537,decba,119,,
2538,Tcba,119,de,17.74
2539,edcT,115,ab,50.62
2540,edcba,120,,
2542,Tcba,119,de,48.28
2543,abcde,1,,
2545,Te,73,abcd,59.37
2546,edcT,120,ab,73.02
2547,Tcba,120,de,10.34
2548,Tcba,119,de,136.17
2596,dTba,119,ce,38.42
2597,Tcba,120,de,154.55
2601,baT,22,cde,7.81
2603,abcde,1,,
2605,Ta,89,bcde,26.92
2606,abT,1,cde,53.98
2607,T,100,abcde,30.9
2608,aT,26,bcde,39.93
2609,abcde,1,,
2610,abT,16,cde,21.55
2611,Tcba,119,de,24.47
2612,Ta,120,bcde,43.96
2613,Taeb,69,cd,32.32
2614,edcT,115,ab,18.93
2615,abcde,1,,
2616,edcT,120,ab,20.39
2617,edcT,120,ab,31.39
2618,Tcde,1,ab,37.41
2630,edcba,120,,
2633,T,120,abcde,29.35
2634,edcba,120,,
2636,edcT,120,ab,86.65
2637,Tcde,1,ab,73.72
2640,T,120,abcde,114.96
2641,Tcba,120,de,19.46
2642,abeT,26,cd,36.03
2643,Tcba,120,de,75.95
2645,edcT,120,ab,94.35
2646,Tba,120,cde,30.54
2701,T,115,abcde,12.71
2702,edT,120,abc,17.57
2704,Tba,119,cde,62.07
2705,Tcba,120,de,18.21
2706,T,115,abcde,15.03
2707,edT,120,abc,202.07
2712,edcT,120,ab,25.85
2718,dceT,89,ab,92.27
2719,edcT,120,ab,47.47
2722,edcT,120,ab,39.96
2723,abT,21,cde,86.85
2724,cdbae,73,,
2726,Tcba,120,de,29.72
2727,abT,21,cde,228.35
2729,edT,120,abc,203.62
2731,edaT,95,bc,135.6
2732,edT,120,abc,103.38
2734,edcT,120,ab,27.12
2736,edaT,100,bc,19.6
2739,T,24,abcde,58.47
2743,edcT,115,ab,108.0
2745,aTc,111,bde,98.35
2748,edT,120,abc,60.0
2751,edcT,120,ab,69.15
2752,edT,100,abc,256.03
2753,eT,105,abcd,155.39
2754,edcT,120,ab,92.66
2755,T,40,abcde,97.43
2756,eT,105,abcd,82.69
2762,abeT,21,cd,92.46
2801,T,120,abcde,17.81
2809,dTba,119,ce,53.99
2812,T,73,abcde,17.93
2816,eT,120,abcd,33.29
2820,T,120,abcde,14.96
2832,T,73,abcde,28.14
2834,Tcba,119,de,16.1
2836,Tba,120,cde,11.94
2836A,T,1,abcde,21.25
2838,T,44,abcde,15.29
2838A,T,11,abcde,52.43
2845,Tcba,120,de,14.3
2849,T,43,abcde,14.64
2850,Tcde,1,ab,98.96
2851,abTe,1,cd,26.39
2852,Te,71,abcd,22.81
2855,Tbae,74,cd,26.41
2867,Tbea,78,cd,7.32
2880,T,73,abcde,25.49
2881,Tcde,2,ab,91.25
2881A,T,1,abcde,62.21
2881B,T,1,abcde,59.73
2881C,T,40,abcde,52.45
2882,Tcde,1,ab,68.65
2882A,T,2,abcde,60.69
2882B,abT,21,cde,58.23
2883,Tcde,2,ab,16.84
2883B,abT,1,cde,7.45
2884,Ta,78,bcde,27.77
2885,baTe,2,cd,31.85
2886,T,120,abcde,39.35
2887,Tcba,120,de,18.28
2887E,T,115,abcde,51.27
2887Z1,T,120,abcde,16.19
2888,cbTe,33,ad,11.35
2888A,Tde,2,abc,35.49
2888B,Tde,2,abc,35.49
2889,Tae,73,bcd,15.17
2890,Teba,89,cd,23.98
2891,abTe,1,cd,35.02
2891B,T,1,abcde,60.48
2892,T,120,abcde,27.32
2897,Tba,120,cde,10.1
2897B,T,1,abcde,11.61
2901,T,78,abcde,27.48
2903,Tcba,120,de,28.48
2904,T,120,abcde,18.42
2905,Teba,88,cd,17.93
2906,Tcba,120,de,19.4
2908,T,120,abcde,20.41
2910,Tcba,120,de,27.02
2911,Tcde,2,ab,9.76
2912,Te,32,abcd,289.27
2913,T,115,abcde,21.16
2915,Tde,31,abc,76.74
2916,edcT,120,ab,48.61
2923,cTae,43,bd,31.32
2926,edcT,115,ab,53.6
2929,bacde,2,,
2937,Tcde,1,ab,36.27
2939,Tcde,1,ab,34.11
2945,Tcba,120,de,42.52
2947,T,54,abcde,84.35
2948,edcba,120,,
2949,edcT,120,ab,85.47
3002,abT,1,cde,15.19
3003,Teba,88,cd,83.01
3004,edcba,120,,
3005,T,1,abcde,111.25
3006,edcba,120,,
3008,Tba,119,cde,2582.91
3010,Tba,89,cde,126.69
3011,beaT,97,cd,29.31
3013,abcde,1,,
3014,edcT,120,ab,138.72
3015,T,2,abcde,58.96
3016,Tcba,120,de,60.1
3017,baTe,2,cd,621.74
3018,Tcde,2,ab,29.65
3019,cbade,33,,
3021,abcde,1,,
3022,Tcba,120,de,79.47
3023,Tba,119,cde,290.79
3024,Tcba,120,de,19.61
3025,bacde,2,,
3026,eT,120,abcd,90.56
3027,edcba,120,,
3028,edT,115,abc,32.1
3029,Tcde,1,ab,101.42
3030,Tbae,73,cd,142.57
3031,bacde,2,,
3032,edcba,120,,
3033,Te,2,abcd,35.11
3034,edcba,120,,
3035,edcba,120,,
3036,edT,105,abc,111.17
3036A,T,1,abcde,48.01
3037,eaTc,25,bd,159.43
3038,edcT,115,ab,25.66
3040,bTde,2,ac,42.74
3042,abcde,1,,
3043,edcba,120,,
3044,Tcba,120,de,200.19
3045,Tde,2,abc,113.51
3046,edcba,120,,
3047,cTe,73,abd,35.12
3048,cTae,73,bd,39.36
3049,bacde,2,,
3050,Tcba,120,de,20.73
3051,aTdc,96,be,31.72
3052,Tcba,120,de,12.55
3054,Tde,2,abc,21.98
3055,abdT,11,ce,72.29
3056,dTab,114,ce,33.12
3057,T,111,abcde,12.92
3058,edT,120,abc,18.11
3059,edcT,120,ab,34.01
3060,abTe,11,cd,27.59
3062,Tcde,1,ab,35.24
3064,cdTe,73,ab,76.61
3066,bacde,2,,
3067,edcT,120,ab,31.8
3071,edTa,120,bc,31.64
3073,cTe,43,abd,71.95
3078,edcba,120,,
3081,Tcde,1,ab,336.39
3083,edaT,100,bc,45.62
3085,bacde,2,,
3086,cbdae,43,,
3088,abT,1,cde,92.77
3090,Tba,119,cde,62.16
3092,aT,96,bcde,31.42
3093,abT,21,cde,29.19
3094,eTa,120,bcd,31.9
3095,cdbT,73,ae,50.19
3105,edcba,120,,
3114,eadT,25,bc,26.3
3115,edcT,120,ab,9.21
3118,Tba,119,cde,32.6
3122,edcba,120,,
3128,edcba,120,,
3130,Tba,119,cde,226.99
3131,cbTe,33,ad,1623.13
3138,edcba,120,,
3141,baT,22,cde,87.58
3147,cTae,43,bd,143.36
3149,bacde,2,,
3150,edcT,120,ab,37.27
3152,edcba,120,,
3162,baTd,7,ce,36.03
3163,cbdae,43,,
3164,Tcba,120,de,22.92
3167,Tcde,1,ab,147.49
3168,edcba,120,,
3169,edcba,120,,
3171,Tcde,1,ab,39.18
3176,edcT,120,ab,36.96
3178,edcba,120,,
