stockId,sortLabel,sortCode,nearBy,nearByAvg
4933,Te,43,abcd,68.61
4934,edcba,120,,
4935,Tcde,1,ab,74.56
4938,Tae,73,bcd,102.37
4939,T,48,abcde,21.34
4942,T,120,abcde,43.74
4943,Tcba,120,de,18.52
4945,edT,120,abc,83.56
4946,edcba,120,,
4949,edcT,115,ab,23.44
4950,bacT,7,de,10.69
4951,Tcba,120,de,75.65
4952,Tcab,115,de,56.1
4953,edT,105,abc,117.41
4956,abcde,1,,
4958,Tcba,119,de,119.79
4960,Tcba,120,de,13.72
4961,Ta,48,bcde,263.45
4966,edcba,120,,
4967,Tcba,120,de,108.94
4968,Tcba,120,de,187.97
4971,bacde,2,,
4972,edcT,120,ab,26.05
4973,edcT,120,ab,31.57
4974,Tcde,2,ab,97.84
4976,Tcba,120,de,43.8
4977,bacde,2,,
4979,bacT,7,de,133.1
4987,Tcde,1,ab,71.46
4989,edcba,120,,
4991,abcde,1,,
4994,dTba,89,ce,108.36
4995,Tade,32,bc,75.06
4999,abT,1,cde,34.62
5007,T,120,abcde,56.25
5009,edT,115,abc,46.62
5011,Tba,119,cde,23.89
5013,T,110,abcde,33.79
5014,Tcde,2,ab,18.08
5015,edcT,120,ab,40.95
5016,T,115,abcde,27.62
5201,edcT,120,ab,27.64
5202,abcde,1,,
5203,Tba,120,cde,95.27
5205,bTde,2,ac,38.08
5206,dceba,89,,
5209,Tcba,120,de,183.62
5210,abeT,26,cd,30.0
5211,aT,16,bcde,26.54
5212,Tbea,78,cd,60.09
5213,edcT,120,ab,31.18
5215,eT,95,abcd,48.85
5220,T,105,abcde,26.05
5222,edcT,120,ab,136.83
5223,edcba,120,,
5225,cdTe,73,ab,123.59
5227,aebdc,96,,
5228,Tba,120,cde,21.72
5230,bcTe,42,ad,34.19
5234,bacde,2,,
5236,bcade,32,,
5243,Tcde,1,ab,63.73
5244,Tcba,120,de,43.48
5245,bacT,2,de,36.04
5251,Tcba,119,de,30.78
5258,edcba,120,,
5263,bTde,2,ac,181.27
5269,edT,120,abc,1630.55
5272,baT,22,cde,32.72
5274,cbTe,43,ad,4319.12
5276,abcde,1,,
5278,abcde,1,,
5283,eT,110,abcd,104.66
5284,abT,6,cde,132.97
5285,Ta,120,bcde,65.47
5287,edT,120,abc,186.66
5288,bTde,2,ac,211.21
5289,edcba,120,,
5291,Tba,89,cde,27.66
5292,bTde,2,ac,164.3
5299,edcba,120,,
5301,edcT,120,ab,8.37
5302,Tcba,120,de,11.68
5306,Tba,89,cde,143.41
5309,Tba,119,cde,36.62
5310,Tcde,1,ab,47.62
5312,T,1,abcde,100.32
5314,abcde,1,,
5315,Tcde,1,ab,20.09
5321,edcba,120,,
5324,Tcba,120,de,12.75
5328,T,2,abcde,15.65
5340,edcba,120,,
5344,eT,105,abcd,19.34
5345,cTde,33,ab,27.53
5347,dceba,89,,
5348,Tcde,1,ab,24.98
5351,edcba,120,,
5353,edT,120,abc,32.09
5355,Tba,89,cde,11.94
5356,T,73,abcde,36.32
5364,bacde,2,,
5371,edcba,120,,
5381,edcT,120,ab,27.3
5386,abcde,1,,
5388,eT,105,abcd,111.36
5392,Teba,89,cd,32.01
5398,abcde,1,,
5403,Tcba,120,de,118.01
5410,edcT,120,ab,33.17
5425,edT,115,abc,64.01
5426,edTb,100,ac,28.89
5432,cdbea,78,,
5434,abcde,1,,
5438,abcde,1,,
5439,edcba,120,,
5443,cbade,33,,
5450,edcT,120,ab,18.38
5452,bacde,2,,
5455,Teba,88,cd,66.98
5457,edTa,110,bc,50.7
5460,abcde,1,,
5464,edcT,120,ab,27.17
5465,edT,95,abc,34.73
5468,Te,33,abcd,23.15
5469,abT,21,cde,53.61
5471,edaT,95,bc,45.46
5474,Tdae,43,bc,166.38
5475,Teba,88,cd,14.12
5478,aTc,96,bde,133.59
5481,bacde,2,,
5483,edcba,120,,
5484,cdbea,78,,
5487,Tcde,2,ab,38.35
5488,abcde,1,,
5489,Tbae,73,cd,42.07
5490,Tcba,120,de,27.17
5493,Te,2,abcd,94.86
5498,T,114,abcde,13.91
5508,Tbae,73,cd,229.98
5511,eTbc,25,ad,61.52
5512,Tcba,120,de,11.21
5514,Tba,89,cde,21.76
5516,edcba,120,,
5519,Tcba,119,de,41.74
5520,T,73,abcde,80.81
5521,Ta,60,bcde,12.23
5522,Tcba,119,de,74.6
5523,Te,2,abcd,30.83
5525,Tcba,119,de,34.83
5529,Tcba,119,de,28.7
5530,Teab,84,cd,47.63
5531,Tcab,115,de,10.57
5533,edcT,120,ab,20.5
5534,Tcba,119,de,106.26
5536,abcde,1,,
5538,Tade,32,bc,35.9
5543,edcba,120,,
5546,eT,25,abcd,29.95
5548,T,114,abcde,34.72
5603,Tcde,1,ab,31.15
5604,T,85,abcde,42.37
5607,edcba,120,,
5608,edcT,120,ab,17.83
5609,Tcba,120,de,87.97
5701,edcT,120,ab,4.79
5704,edcT,120,ab,39.67
5706,edT,100,abc,61.2
5864,Tcba,120,de,19.01
5871,eT,110,abcd,152.37
5871A,T,25,abcde,95.37
5876,edT,115,abc,39.62
5878,T,120,abcde,47.2
5880,Tba,120,cde,25.82
5902,Te,33,abcd,39.04
5903,T,25,abcde,187.94
5904,Ta,88,bcde,516.99
5905,cdTa,88,be,16.36
5907,bacde,2,,
6005,Te,11,abcd,22.13
6015,Tcba,120,de,11.79
6016,edcba,120,,
6020,T,89,abcde,19.1
6021,Tcde,2,ab,24.47
6023,abTe,1,cd,86.46
6024,T,1,abcde,56.21
6026,edcT,120,ab,12.94
6101,edcab,115,,
6103,bacde,2,,
6104,Tcde,2,ab,145.95
6108,edcab,115,,
6109,abT,6,cde,13.94
6111,edaT,100,bc,62.89
6112,edcT,120,ab,47.81
6113,Tcba,120,de,27.86
6114,abcde,1,,
6115,T,79,abcde,52.72
6116,edT,105,abc,9.21
6117,Te,72,abcd,103.98
6118,beaT,97,cd,22.66
6120,edcba,120,,
6121,edcba,120,,
6122,edT,115,abc,52.48
6123,edcT,120,ab,60.55
6124,bacT,2,de,34.73
6125,Teba,89,cd,93.13
6126,aTc,26,bde,32.9
6127,abT,1,cde,28.04
6128,T,110,abcde,36.39
6129,edcba,120,,
6130,Tcba,120,de,29.54
6133,abcde,1,,
6134,abcde,1,,
6136,T,89,abcde,22.62
6138,bT,47,acde,194.82
6139,Te,11,abcd,228.26
6140,edcT,115,ab,25.48
6141,edcT,120,ab,13.18
6142,abcde,1,,
6143,cdbea,78,,
6144,cbdea,48,,
6146,edcT,120,ab,214.78
6147,edcT,120,ab,63.94
6148,baeT,22,cd,28.12
6150,eadbc,25,,
6151,abcde,1,,
6152,cbdae,43,,
6153,Tcba,120,de,21.15
6154,T,120,abcde,16.15
6155,abT,1,cde,27.71
6156,bacde,2,,
6158,abT,6,cde,31.11
6160,Te,1,abcd,26.16
6161,abTe,11,cd,51.55
6163,cTae,73,bd,24.51
6164,aT,16,bcde,14.39
6165,abcde,1,,
6166,T,61,abcde,70.19
6167,abT,6,cde,15.26
6168,beaT,97,cd,22.9
6169,eadT,25,bc,21.71
6170,eadT,25,bc,47.25
6171,dTba,119,ce,40.92
6173,Tba,120,cde,48.09
6174,baeT,27,cd,21.05
6175,Tcba,120,de,38.1
6176,abcde,1,,
6177,decba,119,,
6179,bT,7,acde,31.41
6180,aT,1,bcde,78.09
6182,edcT,120,ab,30.04
6183,Tcde,1,ab,78.87
6184,Tba,120,cde,52.44
6185,aT,96,bcde,15.82
6186,Tcba,120,de,82.92
6187,Tcde,2,ab,456.94
6188,Tbea,78,cd,99.72
6189,T,89,abcde,84.67
6190,Tba,89,cde,37.09
6191,edcT,120,ab,59.21
6192,Teba,88,cd,114.18
6194,cTe,43,abd,40.61
6195,edcT,120,ab,38.08
6196,T,17,abcde,154.06
6197,abcde,1,,
6198,Tcba,120,de,48.84
6199,abcde,1,,
6201,Tcab,115,de,58.97
6202,abeT,26,cd,53.54
6203,edcba,120,,
6204,edcT,120,ab,92.87
6205,edcT,120,ab,69.08
6206,Te,2,abcd,86.86
6207,Tade,32,bc,71.94
6208,Tcde,2,ab,60.7
6209,edcT,120,ab,25.43
6210,T,10,abcde,24.68
6212,decba,119,,
6213,edTb,115,ac,78.43
6214,abcde,1,,
6215,Tade,33,bc,64.31
6216,abcde,1,,
6217,T,2,abcde,45.47
6218,bacde,2,,
6219,dTba,89,ce,41.04
6220,abcT,1,de,24.8
6221,Tcba,120,de,77.42
6222,Tcba,119,de,30.38
6223,Tcde,2,ab,807.81
6224,bacde,2,,
6225,Te,73,abcd,15.76
6226,eT,110,abcd,10.06
6227,Taeb,69,cd,70.11
6228,cdbea,78,,
6229,abT,11,cde,35.62
6230,Tcba,119,de,235.93
6231,bacde,2,,
6233,edcba,120,,
6234,T,10,abcde,27.12
6235,edcT,115,ab,71.1
6236,Tcba,120,de,31.27
6237,beaT,97,cd,50.08
6239,edcba,120,,
6240,Tab,84,cde,23.47
6241,abcde,1,,
6242,edcT,120,ab,43.68
6243,edT,110,abc,52.08
6244,edcT,120,ab,24.8
6245,edT,120,abc,91.02
6246,Tcde,1,ab,26.17
6248,Tba,119,cde,31.07
6257,T,42,abcde,75.92
6259,edcT,120,ab,20.19
6261,T,29,abcde,71.17
6263,Tea,78,bcd,168.32
6264,Tcba,119,de,11.67
6265,Tba,119,cde,12.62
6266,T,105,abcde,32.07
6269,edcT,120,ab,76.17
6270,Te,2,abcd,28.56
6271,edcba,120,,
6274,Tbea,78,cd,169.44
6276,edcba,120,,
6277,T,100,abcde,79.2
6278,Tba,119,cde,112.64
6279,Tde,32,abc,170.34
6281,T,120,abcde,83.69
6282,edcba,120,,
6283,abT,1,cde,28.77
6284,Ta,78,bcde,87.06
6285,edT,100,abc,120.98
6288,aebT,96,cd,28.15
6290,Tba,89,cde,82.86
6291,edcba,120,,
6292,edT,115,abc,66.44
6294,edcT,120,ab,96.54
6405,abcde,1,,
6409,Tcde,2,ab,2144.74
6411,T,40,abcde,97.98
6412,edcT,120,ab,127.52
6414,T,105,abcde,299.28
6415,Tcde,2,ab,514.33
6416,Tade,32,bc,148.89
6417,T,27,abcde,103.77
6418,edcba,120,,
6419,Tbae,74,cd,113.37
6423,edcT,120,ab,89.51
6425,abcde,1,,
6426,bcaT,32,de,68.32
6431,cbdae,43,,
6432,edcT,120,ab,32.02
6435,T,26,abcde,101.93
6438,abcde,1,,
6441,baT,7,cde,43.17
6442,abcde,1,,
6443,edcba,120,,
6446,Tde,3,abc,640.6
6449,cbTe,43,ad,151.81
6451,Tdae,43,bc,224.97
6456,edcT,115,ab,57.85
6457,Tcde,1,ab,66.41
6461,Ta,88,bcde,28.81
6462,Tcba,119,de,222.28
6464,edT,115,abc,79.94
6465,T,99,abcde,22.7
6469,edcT,120,ab,181.3
6470,edT,120,abc,51.34
6472,Tba,89,cde,753.72
6477,edcT,120,ab,33.82
6482,edcT,120,ab,49.34
6485,edcba,120,,
6486,T,67,abcde,85.56
6488,edcba,120,,
6491,edcba,120,,
6492,Tde,2,abc,50.85
6494,edcba,120,,
6496,T,84,abcde,30.07
6499,abT,1,cde,45.4
6504,T,115,abcde,70.48
6505,edcba,120,,
6506,Tcde,2,ab,19.27
6508,eT,100,abcd,31.21
6509,abT,1,cde,40.59
6510,abcde,1,,
6512,Tcab,114,de,23.13
6515,abcde,1,,
6516,edcT,120,ab,69.23
6517,bacT,2,de,74.12
6523,edcT,120,ab,147.32
6525,abcT,1,de,67.83
6526,T,82,abcde,631.27
6527,T,78,abcde,87.94
6530,bacde,2,,
6531,edT,120,abc,307.86
6532,Tcde,2,ab,75.08
6533,abeT,26,cd,383.34
6534,aebT,96,cd,78.93
6535,abcde,1,,
6538,edcba,120,,
6541,Tade,32,bc,64.7
6542,Tba,119,cde,59.93
6546,Teba,88,cd,171.2
6547,edcba,120,,
6548,Teba,89,cd,38.58
6550,edcT,120,ab,50.53
6552,Teba,89,cd,47.15
6556,Tba,119,cde,100.49
6558,edcT,115,ab,22.35
6560,Tcba,119,de,34.25
6561,Tde,2,abc,472.9
6568,eabT,10,cd,129.4
6569,edcba,120,,
6570,Tba,89,cde,56.54
6573,abcde,1,,
6574,Tcde,1,ab,53.66
6576,edcT,120,ab,78.26
6577,edcT,120,ab,87.77
6578,edcba,120,,
6579,edcba,120,,
6581,Tcde,1,ab,119.93
6582,Te,33,abcd,61.4
6584,Te,72,abcd,178.83
6585,edcba,120,,
6588,Tcde,1,ab,39.27
6589,abT,21,cde,87.24
6590,edcT,120,ab,71.09
6591,edT,95,abc,50.6
6592,edcba,120,,
6592A,T,115,abcde,95.28
6592B,T,2,abcde,95.21
6593,edaT,95,bc,81.7
6596,abTe,1,cd,71.99
6598,Tcba,120,de,23.24
6603,Te,33,abcd,19.15
6605,cTe,43,abd,242.8
6606,aTde,1,bc,29.06
6609,abcde,1,,
6612,Teba,88,cd,145.51
6613,abT,1,cde,171.1
6615,Tcba,119,de,52.74
6616,edT,115,abc,12.66
6617,edcba,120,,
6624,edcT,120,ab,38.05
6625,abeT,26,cd,88.27
6629,aTde,31,bc,130.19
6637,edT,110,abc,98.62
6640,cdbae,73,,
6641,Tba,120,cde,40.94
6642,bTde,2,ac,69.2
6643,edcba,120,,
6645,edcba,120,,
6649,Tcde,1,ab,35.46
6651,Tade,32,bc,96.37
6654,Tcba,120,de,46.71
6655,Teba,88,cd,134.24
6657,edcba,120,,
6658,abcde,1,,
6661,Tcab,114,de,25.3
6662,T,74,abcde,36.32
6664,Tade,33,bc,291.54
6666,T,97,abcde,61.75
6667,Tcde,1,ab,228.34
6668,edcba,120,,
6669,edT,110,abc,1922.29
6670,abcde,1,,
6671,T,119,abcde,43.07
6672,edT,115,abc,70.88
6674,T,115,abcde,25.02
6679,eTc,105,abd,348.2
6680,Tcde,1,ab,93.15
6683,Tbea,78,cd,358.12
6684,edcba,120,,
6689,edcba,120,,
6690,Tde,31,abc,220.96
6691,edcT,120,ab,313.23
6692,cTae,43,bd,40.02
6693,Tcde,2,ab,88.36
6695,edT,120,abc,58.38
6697,aTdc,96,be,46.4
6698,cTe,43,abd,41.85
6703,edcba,120,,
6706,Tcde,2,ab,168.74
6708,edcT,115,ab,38.48
6712,edT,100,abc,183.77
6715,baTe,2,cd,174.14
6716,edcba,120,,
6719,edTa,120,bc,251.25
6721,abT,1,cde,53.17
6727,Tcde,1,ab,84.06
6728,Tc,10,abde,125.07
6732,edcba,120,,
6733,abT,1,cde,37.27
6735,Tcba,120,de,77.47
6739,bTde,2,ac,179.22
6741,abeT,26,cd,89.62
6742,bacT,7,de,66.64
6743,dTba,119,ce,58.77
6747,edcba,120,,
6751,eTbc,95,ad,58.95
6752,abeT,21,cd,117.94
6753,Teba,89,cd,123.46
6754,cdT,73,abe,69.27
6756,edcba,120,,
6757,abcde,1,,
6761,Teba,88,cd,100.89
6762,Te,33,abcd,280.8
6763,edcab,115,,
6767,edT,120,abc,32.99
6768,abcde,1,,
6770,edcba,120,,
6771,edcba,120,,
6776,edT,115,abc,56.95
6781,edT,110,abc,518.77
6782,Tcba,120,de,237.4
6785,edcba,120,,
6788,Tcde,2,ab,260.92
6789,Tba,119,cde,294.46
6790,Tba,119,cde,48.75
6791,abcde,1,,
6792,edcT,120,ab,65.91
6794,Tba,119,cde,77.63
6796,eT,25,abcd,85.02
6799,edcba,120,,
6803,edcT,120,ab,282.7
6804,edcT,120,ab,31.8
6805,Tcde,2,ab,849.13
6806,Tcba,120,de,133.37
6807,Tcde,1,ab,75.99
6811,edT,115,abc,252.03
6821,abcT,1,de,40.47
6823,Tcde,2,ab,72.82
6829,Tdae,42,bc,120.63
6830,Tcde,2,ab,204.15
6834,Tbea,78,cd,37.34
6835,abTe,1,cd,50.94
6838,bacT,2,de,42.8
6840,edcba,120,,
6841,edcT,120,ab,81.79
6843,edcT,120,ab,49.79
6844,abeT,21,cd,163.19
6846,baT,2,cde,77.08
6854,abcde,1,,
6855,bacde,2,,
6856,Ta,90,bcde,65.97
6859,abcde,1,,
6861,edcT,120,ab,64.26
6862,Tcba,120,de,255.49
6863,bTde,2,ac,264.8
6865,abedc,26,,
6869,cTae,43,bd,212.82
6870,abcde,1,,
6873,cTae,73,bd,232.58
6874,eadT,25,bc,100.67
6875,edcba,120,,
6877,cbTe,33,ad,65.22
6881,edcT,120,ab,219.75
6890,abcde,1,,
6894,Tc,25,abde,197.78
6895,cbTe,43,ad,187.75
6899,eT,105,abcd,58.5
6901,edcba,120,,
6903,edcba,120,,
6904,edcT,120,ab,145.68
6906,bacT,2,de,162.79
6913,abT,26,cde,121.4
6914,edcba,120,,
6916,T,10,abcde,25.91
6919,Tab,115,cde,511.35
6922,Teba,89,cd,153.7
6923,aT,111,bcde,90.46
6928,edcT,120,ab,60.59
6929,edcba,120,,
6933,eTbc,25,ad,260.02
6937,Tcde,1,ab,333.2
6949,edcT,115,ab,92.27
6951,abcde,1,,
6952,edcba,120,,
6953,edcba,120,,
6957,edcba,120,,
6958,Tba,120,cde,30.98
6967,edcba,120,,
6968,edcT,120,ab,74.35
6969,bacde,2,,
6988,Tba,120,cde,24.93
7402,edcba,120,,
7556,abTe,1,cd,132.28
7584,edcT,120,ab,79.9
8011,Tde,1,abc,27.11
8016,edcba,120,,
8021,abcde,1,,
8024,abeT,26,cd,19.07
8027,Te,42,abcd,105.84
8028,bacde,2,,
8032,abcde,1,,
8033,edcba,120,,
8034,abeT,26,cd,22.12
8038,edT,110,abc,26.65
8039,Teba,88,cd,57.75
8040,Tae,73,bcd,79.9
8042,T,120,abcde,34.89
8043,abcde,1,,
8044,abecd,21,,
8046,edcba,120,,
8047,abcde,1,,
8048,edcT,120,ab,55.17
8049,edT,120,abc,35.31
8050,edT,100,abc,74.27
8054,decba,119,,
8059,Tcde,1,ab,35.62
8064,Tcde,1,ab,64.55
8066,T,120,abcde,29.15
8067,Te,43,abcd,18.13
8068,edT,100,abc,30.4
8069,bacde,2,,
8070,Tade,32,bc,57.83
8071,cdbT,73,ae,20.16
8072,T,96,abcde,27.62
8074,Tcde,1,ab,26.7
8076,Teba,88,cd,33.77
8077,decT,119,ab,50.95
8080,Tcde,2,ab,33.46
8081,edcT,120,ab,228.52
8083,Tcab,115,de,164.49
8084,edcT,115,ab,61.98
8085,edcba,120,,
8086,edcba,120,,
8087,edcba,120,,
8088,edcT,120,ab,26.44
8089,dceT,89,ab,88.79
8091,cTae,43,bd,146.33
8092,dTba,89,ce,24.37
8093,Tbea,78,cd,22.27
8096,cdbT,78,ae,39.93
8097,Tcde,2,ab,76.14
8099,Tcde,2,ab,87.91
8103,Teba,88,cd,59.89
8104,bacde,2,,
8105,cTe,73,abd,16.94
8107,abcde,1,,
8109,edcT,115,ab,88.0
8110,Tcba,120,de,17.49
8111,bacde,2,,
8112,Tcba,120,de,71.87
8112A,T,1,abcde,42.7
8114,Tcde,2,ab,212.82
8121,dceba,89,,
8131,edcT,120,ab,34.38
8147,Teba,88,cd,124.88
8150,edcT,120,ab,36.05
8155,abT,21,cde,136.4
8162,eadT,25,bc,35.89
8171,eaTc,25,bd,34.03
8176,Tcde,2,ab,17.54
8182,Te,2,abcd,36.24
8183,beaT,97,cd,40.57
8201,bT,2,acde,18.09
8210,T,11,abcde,284.3
8213,eT,105,abcd,37.9
8215,abeT,26,cd,31.65
8222,edT,120,abc,37.76
8227,edcT,120,ab,173.51
8234,Tcba,119,de,52.12
8240,abcde,1,,
8249,abcde,1,,
8255,edcba,120,,
8261,edT,100,abc,78.66
8271,edcba,120,,
8272,abT,1,cde,125.34
8277,Tde,2,abc,14.55
8279,edcT,115,ab,134.01
8284,T,119,abcde,63.42
8289,edcT,115,ab,26.86
8291,Tcba,119,de,8.39
8299,edcT,120,ab,477.96
8341,aebT,96,cd,94.89
8342,Tde,2,abc,87.51
8349,Tba,89,cde,69.6
8349A,Tcde,2,ab,48.36
8354,Tcde,1,ab,17.8
8358,Tcab,115,de,62.77
8367,Te,73,abcd,50.07
8374,Tade,32,bc,132.92
8383,Tade,32,bc,44.51
8390,abcde,1,,
8401,Te,73,abcd,27.11
8403,edcT,120,ab,29.96
8404,Tcde,1,ab,31.0
8409,eT,40,abcd,22.24
8410,Te,13,abcd,80.06
8411,T,120,abcde,14.1
8415,T,100,abcde,33.88
8416,T,4,abcde,156.92
8420,edT,120,abc,42.09
8421,Te,31,abcd,14.39
8422,T,89,abcde,184.18
8423,Tba,119,cde,22.89
8424,T,119,abcde,69.24
8426,eTc,25,abd,48.9
8429,abcT,1,de,10.26
8431,T,1,abcde,59.63
8432,abTe,1,cd,61.51
8433,T,105,abcde,90.32
8435,Tcde,1,ab,76.53
8436,edcT,120,ab,134.86
8437,eT,110,abcd,30.58
8438,cdbT,73,ae,38.7
8440,Teba,89,cd,46.48
8442,Tba,119,cde,112.58
8443,T,26,abcde,11.88
8444,Tcba,120,de,36.37
8446,Tcde,1,ab,117.78
8450,T,2,abcde,24.82
8454,edcT,120,ab,376.44
8455,Teba,89,cd,32.72
8462,Tba,88,cde,121.88
8463,T,89,abcde,28.04
8464,bTde,2,ac,479.44
8466,Teba,89,cd,56.89
8467,Tcde,1,ab,260.2
8472,edcT,120,ab,26.49
8473,Teba,88,cd,43.77
8477,edcab,115,,
8478,edcba,120,,
8481,T,120,abcde,50.88
8487,edcba,120,,
8488,Ta,120,bcde,16.0
8489,Tde,1,abc,28.8
8499,Tba,120,cde,117.3
8905,T,47,abcde,30.86
8906,dceba,89,,
8908,edcT,120,ab,48.81
8916,Tab,115,cde,57.75
8917,T,7,abcde,61.83
8921,abcde,1,,
8923,Tcab,115,de,19.35
8924,edcT,120,ab,83.03
8926,Tba,119,cde,44.72
8927,Te,42,abcd,63.29
8928,T,49,abcde,32.75
8929,Tcde,1,ab,24.02
8930,Ta,120,bcde,35.7
8931,Ta,120,bcde,49.34
8932,edcab,115,,
8933,edcba,120,,
8935,abcde,1,,
8936,Tcba,120,de,67.79
8937,abcde,1,,
8938,Teba,89,cd,81.01
8940,eTc,105,abd,23.86
8941,Tcba,120,de,70.43
8942,edcT,120,ab,59.75
8996,decba,119,,
9103,Tcab,115,de,6.89
910322,Tcde,2,ab,23.83
9105,abcde,1,,
910861,dTba,89,ce,6.23
911608,Tcba,119,de,3.51
911622,Tba,119,cde,5.29
911868,Te,73,abcd,1.53
912000,dTba,89,ce,3.14
9136,Tcba,120,de,6.6
9802,edcba,120,,
9902,Teba,88,cd,18.42
9904,abcde,1,,
9905,T,120,abcde,23.11
9906,cdeba,88,,
9907,Tcde,1,ab,16.65
9908,edcT,120,ab,30.16
9910,edcT,120,ab,140.57
9911,Teba,89,cd,87.03
9912,T,11,abcde,12.65
9914,Tcba,120,de,216.42
9917,Te,3,abcd,137.02
9918,T,120,abcde,40.83
9919,edcT,120,ab,19.35
9921,Tcba,119,de,211.16
9924,T,78,abcde,54.44
9925,T,1,abcde,41.44
9926,T,120,abcde,53.65
9927,Tcba,120,de,73.14
9928,eTba,120,cd,20.27
9929,Tba,120,cde,16.1
9930,abTe,1,cd,66.23
9931,edT,115,abc,34.57
9933,Tcba,119,de,47.81
9934,Tba,119,cde,17.68
9935,Tcde,1,ab,34.3
9937,T,120,abcde,65.41
9938,abcde,1,,
9939,Teba,89,cd,158.68
9940,Tba,119,cde,31.32
9941,edcT,120,ab,140.57
9941A,T,1,abcde,51.06
9942,edT,120,abc,116.39
9943,edT,120,abc,82.01
9944,Tcab,115,de,20.99
9945,Te,33,abcd,47.03
9946,Tcba,120,de,32.33
9949,cTe,43,abd,24.28
9950,edcT,120,ab,13.8
9951,edcba,120,,
9955,cTe,73,abd,34.45
9958,Tcba,120,de,229.76
9960,T,95,abcde,26.65
9962,edT,120,abc,15.65
