2504,SIGMU
8424,SIGMU
9917,SIGMU
5202,力晶
6531,力晶
6770,力晶
1444,力麗
1447,力麗
3073,力麗
5364,力麗
5512,力麗
8473,力麗
1438,三地
5905,三地
8927,三地
1316,上曜
3313,上曜
4303,上曜
4714,上曜
5314,上曜
2331,大同
2371,大同
8085,大同
8099,大同
3701,大眾
5410,大眾
6928,大眾
4772,中美晶
5483,中美晶
6488,中美晶
8086,中美晶
8255,中美晶
2412,中華電信
2450,中華電信
6510,中華電信
6516,中華電信
6561,中華電信
1535,中鋼
1723,中鋼
2002,中鋼
2013,中鋼
2014,中鋼
3663,中鋼
9930,中鋼
2323,中環
3623,中環
6144,中環
2324,仁寶
3479,仁寶
3596,仁寶
6674,仁寶
8155,仁寶
2527,日月光
2923,日月光
3711,日月光
6287,日月光
1301,台塑
1303,台塑
1326,台塑
1434,台塑
2408,台塑
3532,台塑
6505,台塑
8046,台塑
8131,台塑
2308,台達電
3454,台達電
3576,台達電
1304,台聚
1305,台聚
1308,台聚
1309,台聚
8121,台聚
2330,台積電
3374,台積電
3443,台積電
5347,台積電
6789,台積電
1310,台灣鋼鐵
1584,台灣鋼鐵
2012,台灣鋼鐵
2332,台灣鋼鐵
2719,台灣鋼鐵
4109,台灣鋼鐵
4419,台灣鋼鐵
4806,台灣鋼鐵
4903,台灣鋼鐵
5009,台灣鋼鐵
5011,台灣鋼鐵
5478,台灣鋼鐵
6142,台灣鋼鐵
6241,台灣鋼鐵
6248,台灣鋼鐵
2392,正崴
3501,正崴
3712,正崴
6806,正崴
1904,正隆
2616,正隆
8931,正隆
1905,永豐餘
1907,永豐餘
2890,永豐餘
4157,永豐餘
6499,永豐餘
6582,永豐餘
6790,永豐餘
6863,永豐餘
8069,永豐餘
8921,永豐餘
1720,生達
1777,生達
1796,生達
6929,生達
8279,生達
1503,仰德
2704,仰德
5324,仰德
2301,光寶
3593,光寶
8358,光寶
2353,宏碁
2432,宏碁
3046,宏碁
6690,宏碁
6751,宏碁
6776,宏碁
6811,宏碁
6899,宏碁
2352,明碁友達
2397,明碁友達
2409,明碁友達
2419,明碁友達
3168,明碁友達
3380,明碁友達
3511,明碁友達
3564,明碁友達
3592,明碁友達
3714,明碁友達
4116,明碁友達
4153,明碁友達
5234,明碁友達
6112,明碁友達
6120,明碁友達
6486,明碁友達
6527,明碁友達
6556,明碁友達
6570,明碁友達
6782,明碁友達
6792,明碁友達
6844,明碁友達
8163,明碁友達
8215,明碁友達
8374,明碁友達
1259,東元
1504,東元
2321,東元
2431,東元
2642,東元
5438,東元
6697,東元
2258,鴻海
2314,鴻海
2317,鴻海
2328,鴻海
2354,鴻海
3062,鴻海
3149,鴻海
3413,鴻海
3498,鴻海
3580,鴻海
4958,鴻海
5243,鴻海
6121,鴻海
6196,鴻海
6414,鴻海
6416,鴻海
6451,鴻海
6456,鴻海
6589,鴻海
6668,鴻海
6933,鴻海
8261,鴻海
2211,長榮
2603,長榮
2607,長榮
2618,長榮
2645,長榮
2851,長榮
2388,威盛
2498,威盛
5344,威盛
6118,威盛
6756,威盛
1731,美吾華
4108,美吾華
4188,美吾華
1314,威京
2515,威京
1217,耐斯
5701,耐斯
2401,凌陽
3040,凌陽
4952,凌陽
5236,凌陽
6695,凌陽
3150,神盾
3530,神盾
6243,神盾
6462,神盾
6684,神盾
8054,神盾
2250,能率
2374,能率
5348,能率
5392,能率
8071,能率
4123,晟德
4142,晟德
4726,晟德
6535,晟德
6712,晟德
6733,晟德
2327,國巨
2375,國巨
6271,國巨
1216,統一
1232,統一
1789,統一
2511,統一
2855,統一
2912,統一
5902,統一
6558,統一
9907,統一
2881,富邦
3045,富邦
8454,富邦
1605,華新麗華
2344,華新麗華
2492,華新麗華
3049,華新麗華
3311,華新麗華
4919,華新麗華
6116,華新麗華
6153,華新麗華
6173,華新麗華
6191,華新麗華
6284,華新麗華
8110,華新麗華
8183,華新麗華
2357,華碩
2395,華碩
3036,華碩
3189,華碩
3416,華碩
3515,華碩
3694,華碩
4938,華碩
5269,華碩
6109,華碩
6569,華碩
6579,華碩
6719,華碩
8050,華碩
1409,新光
1419,新光
2850,新光
2888,新光
4933,新光
9908,新光
9925,新光
9926,新光
2312,新金寶
6282,新金寶
8059,新金寶
9105,新金寶
1903,萬海
2615,萬海
1102,遠東
1402,遠東
1460,遠東
1710,遠東
2606,遠東
2845,遠東
2903,遠東
4904,遠東
2382,廣達
3306,廣達
6188,廣達
2597,潤泰
2915,潤泰
4147,潤泰
4174,潤泰
5263,潤泰
6541,潤泰
6881,潤泰
8341,潤泰
8463,潤泰
9945,潤泰
3231,緯創
4953,緯創
6285,緯創
6669,緯創
2349,錸德
3050,錸德
3615,錸德
8104,錸德
2454,聯發科
3169,聯發科
6526,聯發科
6533,聯發科
6679,聯發科
8040,聯發科
1229,聯華神通
1313,聯華神通
2347,聯華神通
2471,聯華神通
3004,聯華神通
3005,聯華神通
3706,聯華神通
6235,聯華神通
2303,聯電
2363,聯電
3014,聯電
3035,聯電
3037,聯電
3094,聯電
3227,聯電
3321,聯電
6147,聯電
6168,聯電
6202,聯電
6261,聯電
